id,cons,shop,left,width,top,height
3589,7647,36520,298,126,336,108
3589,7647,36521,298,126,336,108
3589,7647,36522,298,126,336,108
3589,7647,36523,298,126,336,108
3589,7647,36524,298,126,336,108
3589,7775,36520,51,48,267,87
3589,7775,36521,51,48,267,87
3589,7775,36522,51,48,267,87
3589,7775,36523,51,48,267,87
3589,7775,36524,51,48,267,87
8198,2563,39100,1060,1735,3125,1739
8198,2563,39101,1060,1735,3125,1739
8198,2563,39102,1060,1735,3125,1739
8198,2563,39103,1060,1735,3125,1739
8198,2563,39104,1060,1735,3125,1739
8198,9675,39100,330,375,1525,970
8198,9675,39101,330,375,1525,970
8198,9675,39102,330,375,1525,970
8198,9675,39103,330,375,1525,970
8198,9675,39104,330,375,1525,970
8198,12475,39100,264,148,210,389
8198,12475,39101,264,148,210,389
8198,12475,39102,264,148,210,389
8198,12475,39103,264,148,210,389
8198,12475,39104,264,148,210,389
8198,10426,39100,1373,1176,1356,3180
8198,10426,39101,1373,1176,1356,3180
8198,10426,39102,1373,1176,1356,3180
8198,10426,39103,1373,1176,1356,3180
8198,10426,39104,1373,1176,1356,3180
8198,14364,39100,705,735,943,1844
8198,14364,39101,705,735,943,1844
8198,14364,39102,705,735,943,1844
8198,14364,39103,705,735,943,1844
8198,14364,39104,705,735,943,1844
8198,5994,39100,13,96,148,142
8198,5994,39101,13,96,148,142
8198,5994,39102,13,96,148,142
8198,5994,39103,13,96,148,142
8198,5994,39104,13,96,148,142
8198,9128,39100,1072,455,1865,455
8198,9128,39101,1072,455,1865,455
8198,9128,39102,1072,455,1865,455
8198,9128,39103,1072,455,1865,455
8198,9128,39104,1072,455,1865,455
2054,11930,43240,520,625,1460,750
2054,11930,43241,520,625,1460,750
2054,11930,43242,520,625,1460,750
2054,11930,43243,520,625,1460,750
2054,11930,43244,520,625,1460,750
2054,11930,43245,520,625,1460,750
9224,1010,54991,68,82,279,107
9224,1010,54992,68,82,279,107
9224,1010,54993,68,82,279,107
9224,1010,54994,68,82,279,107
9224,4644,54991,307,453,977,320
9224,4644,54992,307,453,977,320
9224,4644,54993,307,453,977,320
