id,cons,shop,left,width,top,height
768,1723,34895,155,139,343,65
768,1723,34896,155,139,343,65
768,13047,34895,260,307,754,74
768,13047,34896,260,307,754,74
768,18754,34895,387,533,1587,126
768,18754,34896,387,533,1587,126
768,329827,34895,845,537,623,152
768,329827,34896,845,537,623,152
768,17697,34895,350,155,440,39
768,17697,34896,350,155,440,39
768,330363,34895,242,316,917,167
768,330363,34896,242,316,917,167
768,1014,34895,820,266,580,118
768,1014,34896,820,266,580,118
768,6471,34895,213,181,434,49
768,6471,34896,213,181,434,49
768,11117,34895,699,1073,1008,601
768,11117,34896,699,1073,1008,601
768,18291,34895,171,175,209,65
768,18291,34896,171,175,209,65
768,2777,34895,203,578,811,291
768,2777,34896,203,578,811,291
768,14754,34895,395,53,550,45
768,14754,34896,395,53,550,45
2,11924,82783,1266,324,733,167
2,11924,82784,1266,324,733,167
2,7876,82783,229,55,277,32
2,7876,82784,229,55,277,32
2,18706,82783,1362,460,2415,135
2,18706,82784,1362,460,2415,135
2,11856,82783,380,168,552,24
2,11856,82784,380,168,552,24
898,3381,97544,263,157,269,63
898,3381,97545,263,157,269,63
386,13916,48825,248,68,227,41
386,13916,48826,248,68,227,41
386,13916,48827,248,68,227,41
518,17065,29229,401,426,1317,152
518,17065,29232,401,426,1317,152
518,13181,29229,80,217,464,83
518,13181,29232,80,217,464,83
518,3561,29229,225,228,490,113
518,3561,29232,225,228,490,113
518,13950,29229,168,269,598,71
518,13950,29232,168,269,598,71
518,12830,29229,1362,381,1956,191
518,12830,29232,1362,381,1956,191
904,330490,34725,110,169,364,47
904,330490,34727,110,169,364,47
904,1057,34725,324,155,557,58
904,1057,34727,324,155,557,58
904,15894,34725,480,297,813,59
904,15894,34727,480,297,813,59
904,330415,34725,1165,601,833,344
904,330415,34727,1165,601,833,344
904,15143,34725,604,384,1309,169
904,15143,34727,604,384,1309,169
904,2145,34725,507,589,686,132
904,2145,34727,507,589,686,132
904,329889,34725,819,313,979,164
904,329889,34727,819,313,979,164
