id,cons,shop,left,width,top,height
40960,12,60952,21,412,132,455
40960,12,60952,447,444,23,427
40960,12,60952,447,448,520,380
40960,12,60955,21,412,132,455
40960,12,60955,447,444,23,427
40960,12,60955,447,448,520,380
40960,12,60958,21,412,132,455
40960,12,60958,447,444,23,427
40960,12,60958,447,448,520,380
40960,12,60960,21,412,132,455
40960,12,60960,447,444,23,427
40960,12,60960,447,448,520,380
40960,7168,60952,237,643,605,1413
40960,7168,60955,237,643,605,1413
40960,7168,60958,237,643,605,1413
40960,7168,60960,237,643,605,1413
40960,16732,60952,668,515,28,575
40960,16732,60952,137,412,260,589
40960,16732,60955,668,515,28,575
40960,16732,60955,137,412,260,589
40960,16732,60958,668,515,28,575
40960,16732,60958,137,412,260,589
40960,16732,60960,668,515,28,575
40960,16732,60960,137,412,260,589
40960,13695,60952,107,318,265,564
40960,13695,60955,107,318,265,564
40960,13695,60958,107,318,265,564
40960,13695,60960,107,318,265,564
40960,16114,60952,955,665,1177,1155
40960,16114,60955,955,665,1177,1155
40960,16114,60958,955,665,1177,1155
40960,16114,60960,955,665,1177,1155
40960,10119,60952,46,247,196,184
40960,10119,60952,415,152,126,258
40960,10119,60955,46,247,196,184
40960,10119,60955,415,152,126,258
40960,10119,60958,46,247,196,184
40960,10119,60958,415,152,126,258
40960,10119,60960,46,247,196,184
40960,10119,60960,415,152,126,258
32770,363629,45310,629,1137,821,1825
32770,363629,45311,629,1137,821,1825
32770,363629,45312,629,1137,821,1825
32770,363629,45313,629,1137,821,1825
32770,363629,45314,629,1137,821,1825
32770,363629,45315,629,1137,821,1825
49157,8850,82265,0,834,797,1072
49157,8850,82266,0,834,797,1072
49157,8850,82267,0,834,797,1072
49157,8850,82268,0,834,797,1072
49157,8850,82269,0,834,797,1072
49162,18489,85537,379,382,395,745
49162,18489,85538,379,382,395,745
49162,18489,85539,379,382,395,745
49162,18489,85540,379,382,395,745
49162,10754,85537,1998,511,1201,679
49162,10754,85538,1998,511,1201,679
49162,10754,85539,1998,511,1201,679
49162,10754,85540,1998,511,1201,679
49162,14839,85537,285,921,1270,1831
49162,14839,85538,285,921,1270,1831
49162,14839,85539,285,921,1270,1831
49162,14839,85540,285,921,1270,1831
40974,4248,76006,1370,1043,700,1823
40974,4248,76006,1484,964,829,1766
40974,4248,76007,1370,1043,700,1823
40974,4248,76007,1484,964,829,1766
40974,4248,76008,1370,1043,700,1823
40974,4248,76008,1484,964,829,1766
40974,4248,76009,1370,1043,700,1823
40974,4248,76009,1484,964,829,1766
