id,cons,shop,left,width,top,height
898,14429,21000,246,65,292,63
898,14429,21002,246,65,292,63
898,14429,21004,246,65,292,63
898,14429,21005,246,65,292,63
898,14429,21006,246,65,292,63
898,2834,21000,102,66,53,36
898,2834,21002,102,66,53,36
898,2834,21004,102,66,53,36
898,2834,21005,102,66,53,36
898,2834,21006,102,66,53,36
898,9236,21000,835,275,740,170
898,9236,21002,835,275,740,170
898,9236,21004,835,275,740,170
898,9236,21005,835,275,740,170
898,9236,21006,835,275,740,170
898,11565,21000,845,230,340,85
898,11565,21002,845,230,340,85
898,11565,21004,845,230,340,85
898,11565,21005,845,230,340,85
898,11565,21006,845,230,340,85
898,10585,21000,810,200,730,65
898,10585,21002,810,200,730,65
898,10585,21004,810,200,730,65
898,10585,21005,810,200,730,65
898,10585,21006,810,200,730,65
898,10786,21000,1200,260,375,100
898,10786,21002,1200,260,375,100
898,10786,21004,1200,260,375,100
898,10786,21005,1200,260,375,100
898,10786,21006,1200,260,375,100
645,17147,63525,330,244,617,174
645,17147,63526,330,244,617,174
645,17147,63527,330,244,617,174
645,17147,63528,330,244,617,174
645,132,63525,174,80,65,65
645,132,63526,174,80,65,65
645,132,63527,174,80,65,65
645,132,63528,174,80,65,65
645,6755,63525,677,127,532,52
645,6755,63526,677,127,532,52
645,6755,63527,677,127,532,52
645,6755,63528,677,127,532,52
645,5923,63525,240,35,218,16
645,5923,63526,240,35,218,16
645,5923,63527,240,35,218,16
645,5923,63528,240,35,218,16
645,17472,63525,2,96,304,85
645,17472,63526,2,96,304,85
645,17472,63527,2,96,304,85
645,17472,63528,2,96,304,85
645,1525,63525,322,59,112,29
645,1525,63526,322,59,112,29
645,1525,63527,322,59,112,29
645,1525,63528,322,59,112,29
645,906,63525,505,351,232,186
645,906,63526,505,351,232,186
645,906,63527,505,351,232,186
645,906,63528,505,351,232,186
645,16261,63525,280,113,87,68
645,16261,63526,280,113,87,68
645,16261,63527,280,113,87,68
645,16261,63528,280,113,87,68
645,17285,63525,180,172,182,19
645,17285,63526,180,172,182,19
645,17285,63527,180,172,182,19
645,17285,63528,180,172,182,19
645,15034,63525,220,82,72,45
645,15034,63526,220,82,72,45
645,15034,63527,220,82,72,45
645,15034,63528,220,82,72,45
645,11437,63525,211,69,62,56
645,11437,63526,211,69,62,56
645,11437,63527,211,69,62,56
645,11437,63528,211,69,62,56
645,6567,63525,1091,327,180,124
645,6567,63526,1091,327,180,124
645,6567,63527,1091,327,180,124
645,6567,63528,1091,327,180,124
645,9923,63525,162,215,238,107
645,9923,63526,162,215,238,107
645,9923,63527,162,215,238,107
645,9923,63528,162,215,238,107
645,5324,63525,251,32,161,29
645,5324,63526,251,32,161,29
645,5324,63527,251,32,161,29
645,5324,63528,251,32,161,29
645,5947,63525,2984,801,471,483
645,5947,63526,2984,801,471,483
645,5947,63527,2984,801,471,483
645,5947,63528,2984,801,471,483
774,10513,52951,230,66,200,33
774,10513,52954,230,66,200,33
774,10513,52956,230,66,200,33
774,10513,97381,230,66,200,33
774,3360,52951,1719,432,760,173
774,3360,52954,1719,432,760,173
774,3360,52956,1719,432,760,173
774,3360,97381,1719,432,760,173
774,15377,52951,342,60,98,59
774,15377,52954,342,60,98,59
774,15377,52956,342,60,98,59
774,15377,97381,342,60,98,59
774,14356,52951,177,229,129,77
774,14356,52954,177,229,129,77
774,14356,52956,177,229,129,77
774,14356,97381,177,229,129,77
655,9483,83736,330,104,162,48
655,9483,83737,330,104,162,48
655,9483,83738,330,104,162,48
404,14507,50022,985,292,442,123
404,14507,50023,985,292,442,123
404,14507,50024,985,292,442,123
404,14507,50025,985,292,442,123
404,14507,50026,985,292,442,123
404,8540,50022,145,94,63,19
404,8540,50023,145,94,63,19
404,8540,50024,145,94,63,19
404,8540,50025,145,94,63,19
404,8540,50026,145,94,63,19
404,2531,50022,208,93,142,17
404,2531,50023,208,93,142,17
404,2531,50024,208,93,142,17
404,2531,50025,208,93,142,17
404,2531,50026,208,93,142,17
404,16684,50022,254,78,100,40
404,16684,50023,254,78,100,40
404,16684,50024,254,78,100,40
404,16684,50025,254,78,100,40
404,16684,50026,254,78,100,40
404,14832,50022,863,346,418,193
404,14832,50023,863,346,418,193
404,14832,50024,863,346,418,193
404,14832,50025,863,346,418,193
404,14832,50026,863,346,418,193
404,251576,50022,263,72,65,22
404,251576,50023,263,72,65,22
404,251576,50024,263,72,65,22
404,251576,50025,263,72,65,22
404,251576,50026,263,72,65,22
1173,879,55253,260,103,126,44
1173,879,55254,260,103,126,44
1173,879,55255,260,103,126,44
1173,879,55256,260,103,126,44
1173,879,55257,260,103,126,44
1173,8624,55253,92,98,114,52
1173,8624,55254,92,98,114,52
1173,8624,55255,92,98,114,52
1173,8624,55256,92,98,114,52
1173,8624,55257,92,98,114,52
153,7181,34633,865,275,420,155
153,7181,34634,865,275,420,155
153,7181,34635,865,275,420,155
153,7181,34636,865,275,420,155
153,12115,34633,166,73,158,33
153,12115,34634,166,73,158,33
153,12115,34635,166,73,158,33
153,12115,34636,166,73,158,33
538,1740,67842,1037,239,192,158
538,1740,67843,1037,239,192,158
538,1740,67844,1037,239,192,158
283,12939,87260,800,310,380,175
283,12939,87261,800,310,380,175
283,12939,87262,800,310,380,175
283,12939,87263,800,310,380,175
1181,1470,57655,1940,689,575,350
1181,1470,57656,1940,689,575,350
1181,1470,57657,1940,689,575,350
802,11093,61727,1174,542,669,193
802,11093,61728,1174,542,669,193
802,11093,61729,1174,542,669,193
802,11093,61730,1174,542,669,193
802,11093,61731,1174,542,669,193
802,11093,61732,1174,542,669,193
802,11093,61733,1174,542,669,193
802,11093,97339,1174,542,669,193
802,14426,61727,215,48,27,46
802,14426,61728,215,48,27,46
802,14426,61729,215,48,27,46
802,14426,61730,215,48,27,46
802,14426,61731,215,48,27,46
802,14426,61732,215,48,27,46
802,14426,61733,215,48,27,46
802,14426,97339,215,48,27,46
802,8561,61727,136,119,249,73
802,8561,61727,770,108,206,57
802,8561,61728,136,119,249,73
802,8561,61728,770,108,206,57
802,8561,61729,136,119,249,73
802,8561,61729,770,108,206,57
802,8561,61730,136,119,249,73
802,8561,61730,770,108,206,57
802,8561,61731,136,119,249,73
802,8561,61731,770,108,206,57
802,8561,61732,136,119,249,73
802,8561,61732,770,108,206,57
802,8561,61733,136,119,249,73
802,8561,61733,770,108,206,57
802,8561,97339,136,119,249,73
802,8561,97339,770,108,206,57
802,6290,61727,142,63,119,24
802,6290,61728,142,63,119,24
802,6290,61729,142,63,119,24
802,6290,61730,142,63,119,24
802,6290,61731,142,63,119,24
802,6290,61732,142,63,119,24
802,6290,61733,142,63,119,24
802,6290,97339,142,63,119,24
802,14085,61727,590,575,310,90
802,14085,61728,590,575,310,90
802,14085,61729,590,575,310,90
802,14085,61730,590,575,310,90
802,14085,61731,590,575,310,90
802,14085,61732,590,575,310,90
802,14085,61733,590,575,310,90
802,14085,97339,590,575,310,90
802,14259,61727,242,103,210,80
802,14259,61728,242,103,210,80
802,14259,61729,242,103,210,80
802,14259,61730,242,103,210,80
802,14259,61731,242,103,210,80
802,14259,61732,242,103,210,80
802,14259,61733,242,103,210,80
802,14259,97339,242,103,210,80
802,6566,61727,468,319,1010,236
802,6566,61728,468,319,1010,236
802,6566,61729,468,319,1010,236
802,6566,61730,468,319,1010,236
802,6566,61731,468,319,1010,236
802,6566,61732,468,319,1010,236
802,6566,61733,468,319,1010,236
802,6566,97339,468,319,1010,236
802,1075,61727,905,288,263,107
802,1075,61728,905,288,263,107
802,1075,61729,905,288,263,107
802,1075,61730,905,288,263,107
802,1075,61731,905,288,263,107
802,1075,61732,905,288,263,107
802,1075,61733,905,288,263,107
802,1075,97339,905,288,263,107
802,8172,61727,132,103,29,46
802,8172,61728,132,103,29,46
802,8172,61729,132,103,29,46
802,8172,61730,132,103,29,46
802,8172,61731,132,103,29,46
802,8172,61732,132,103,29,46
802,8172,61733,132,103,29,46
802,8172,97339,132,103,29,46
