id,cons,shop,left,width,top,height
40971,5202,25291,682,62,1124,64
40971,5202,25291,369,64,1126,67
40971,5202,25292,682,62,1124,64
40971,5202,25292,369,64,1126,67
40971,5202,25293,682,62,1124,64
40971,5202,25293,369,64,1126,67
40971,5202,25294,682,62,1124,64
40971,5202,25294,369,64,1126,67
40971,5202,25295,682,62,1124,64
40971,5202,25295,369,64,1126,67
40971,5202,25296,682,62,1124,64
40971,5202,25296,369,64,1126,67
32788,7350,79946,270,27,1202,19
32788,7350,79947,270,27,1202,19
32788,7350,79948,270,27,1202,19
32788,7350,79949,270,27,1202,19
32788,18454,79946,228,335,1073,163
32788,18454,79947,228,335,1073,163
32788,18454,79948,228,335,1073,163
32788,18454,79949,228,335,1073,163
16407,12571,87059,510,79,1125,150
16407,12571,87059,593,118,1062,224
16407,12571,87060,510,79,1125,150
16407,12571,87060,593,118,1062,224
16407,12571,87061,510,79,1125,150
16407,12571,87061,593,118,1062,224
16407,12571,87062,510,79,1125,150
16407,12571,87062,593,118,1062,224
16407,12571,87063,510,79,1125,150
16407,12571,87063,593,118,1062,224
16407,12571,87064,510,79,1125,150
16407,12571,87064,593,118,1062,224
24605,7425,23747,997,285,3026,78
24605,7425,23747,816,342,2741,197
24605,7425,23748,997,285,3026,78
24605,7425,23748,816,342,2741,197
24605,7425,23749,997,285,3026,78
24605,7425,23749,816,342,2741,197
24605,7425,23750,997,285,3026,78
24605,7425,23750,816,342,2741,197
24605,7609,23747,881,123,1682,201
24605,7609,23747,994,31,1573,245
24605,7609,23748,881,123,1682,201
24605,7609,23748,994,31,1573,245
24605,7609,23749,881,123,1682,201
24605,7609,23749,994,31,1573,245
24605,7609,23750,881,123,1682,201
24605,7609,23750,994,31,1573,245
24605,2708,23747,322,95,876,81
24605,2708,23747,430,105,898,60
24605,2708,23748,322,95,876,81
24605,2708,23748,430,105,898,60
24605,2708,23749,322,95,876,81
24605,2708,23749,430,105,898,60
24605,2708,23750,322,95,876,81
24605,2708,23750,430,105,898,60
24605,135,23747,236,44,555,79
24605,135,23747,179,44,550,79
24605,135,23747,207,2,0,2
24605,135,23748,236,44,555,79
24605,135,23748,179,44,550,79
24605,135,23748,207,2,0,2
24605,135,23749,236,44,555,79
24605,135,23749,179,44,550,79
24605,135,23749,207,2,0,2
24605,135,23750,236,44,555,79
24605,135,23750,179,44,550,79
24605,135,23750,207,2,0,2
24605,3793,23747,897,193,2617,304
24605,3793,23748,897,193,2617,304
24605,3793,23749,897,193,2617,304
24605,3793,23750,897,193,2617,304
