id,cons,shop,left,width,top,height
515,13774,47705,197,214,128,131
515,13774,47705,189,248,117,155
515,13774,47706,197,214,128,131
515,13774,47706,189,248,117,155
515,12654,47705,327,423,219,285
515,12654,47705,348,414,219,285
515,12654,47706,327,423,219,285
515,12654,47706,348,414,219,285
515,98583,47705,775,473,582,368
515,98583,47705,775,461,600,327
515,98583,47706,775,473,582,368
515,98583,47706,775,461,600,327
515,11855,47705,608,263,635,235
515,11855,47705,562,332,612,226
515,11855,47706,608,263,635,235
515,11855,47706,562,332,612,226
1528,16228,58289,256,71,3,68
1528,16228,58289,257,103,13,64
1528,16228,58291,256,71,3,68
1528,16228,58291,257,103,13,64
1528,1614,58289,189,93,36,49
1528,1614,58289,192,79,34,44
1528,1614,58291,189,93,36,49
1528,1614,58291,192,79,34,44
16,3465,50626,99,168,5,164
16,3465,50626,84,186,6,166
16,3465,50627,99,168,5,164
16,3465,50627,84,186,6,166
16,14682,50626,337,200,51,115
16,14682,50626,337,206,41,126
16,14682,50627,337,200,51,115
16,14682,50627,337,206,41,126
16,6247,50626,678,168,138,180
16,6247,50626,655,193,149,152
16,6247,50626,20,556,23,548
16,6247,50626,38,546,30,546
16,6247,50627,678,168,138,180
16,6247,50627,655,193,149,152
16,6247,50627,20,556,23,548
16,6247,50627,38,546,30,546
530,1415,68244,1078,653,821,321
530,1415,68244,1031,665,792,356
530,1415,68245,1078,653,821,321
530,1415,68245,1031,665,792,356
1555,17289,54921,674,115,454,140
1555,17289,54921,658,165,464,119
1555,17289,54922,674,115,454,140
1555,17289,54922,658,165,464,119
1555,17630,54921,102,133,77,92
1555,17630,54921,68,156,70,106
1555,17630,54921,411,136,76,113
1555,17630,54921,391,148,86,128
1555,17630,54922,102,133,77,92
1555,17630,54922,68,156,70,106
1555,17630,54922,411,136,76,113
1555,17630,54922,391,148,86,128
1555,2434,54921,175,210,97,166
1555,2434,54921,190,242,146,59
1555,2434,54921,724,205,107,135
1555,2434,54922,175,210,97,166
1555,2434,54922,190,242,146,59
1555,2434,54922,724,205,107,135
1555,7616,54921,108,132,308,71
1555,7616,54921,120,112,320,58
1555,7616,54922,108,132,308,71
1555,7616,54922,120,112,320,58
1555,1123,54921,411,282,355,178
1555,1123,54921,437,234,355,152
1555,1123,54922,411,282,355,178
1555,1123,54922,437,234,355,152
1555,8717,54921,255,250,232,118
1555,8717,54921,329,145,235,130
1555,8717,54922,255,250,232,118
1555,8717,54922,329,145,235,130
1555,7754,54921,208,227,132,168
1555,7754,54921,184,274,93,159
1555,7754,54922,208,227,132,168
1555,7754,54922,184,274,93,159
1555,1422,54921,75,61,229,38
1555,1422,54921,66,65,212,60
1555,1422,54922,75,61,229,38
1555,1422,54922,66,65,212,60
1555,15759,54921,260,261,297,160
1555,15759,54921,274,250,278,202
1555,15759,54922,260,261,297,160
1555,15759,54922,274,250,278,202
1555,10084,54921,1755,856,1195,505
1555,10084,54921,1974,681,1338,428
1555,10084,54922,1755,856,1195,505
1555,10084,54922,1974,681,1338,428
1555,8360,54921,676,862,705,616
1555,8360,54921,802,862,749,661
1555,8360,54922,676,862,705,616
1555,8360,54922,802,862,749,661
1555,4432,54921,326,185,46,127
1555,4432,54921,343,202,30,187
1555,4432,54922,326,185,46,127
1555,4432,54922,343,202,30,187
1555,812,54921,444,103,109,65
1555,812,54921,456,81,103,63
1555,812,54922,444,103,109,65
1555,812,54922,456,81,103,63
1044,8054,81979,169,130,8,94
1044,8054,81979,177,98,13,84
1044,8054,81980,169,130,8,94
1044,8054,81980,177,98,13,84
24,14053,89697,231,112,0,72
24,14053,89697,247,115,10,61
24,14053,89698,231,112,0,72
24,14053,89698,247,115,10,61
538,17580,55309,258,185,119,142
538,17580,55309,263,214,108,185
538,17580,55310,258,185,119,142
538,17580,55310,263,214,108,185
1566,13355,54357,817,652,234,520
1566,13355,54357,777,658,148,566
1566,13355,54358,817,652,234,520
1566,13355,54358,777,658,148,566
548,2624,72720,570,735,45,430
548,2624,72720,495,850,60,525
548,2624,72721,570,735,45,430
548,2624,72721,495,850,60,525
548,17919,72720,165,324,113,207
548,17919,72720,163,340,89,283
548,17919,72721,165,324,113,207
548,17919,72721,163,340,89,283
548,6296,72720,139,213,38,93
548,6296,72720,128,196,33,115
548,6296,72721,139,213,38,93
548,6296,72721,128,196,33,115
548,5431,72720,276,151,130,92
548,5431,72720,262,173,122,101
548,5431,72721,276,151,130,92
548,5431,72721,262,173,122,101
554,3846,23959,156,377,0,301
554,3846,23959,156,375,39,264
554,3846,23960,156,377,0,301
554,3846,23960,156,375,39,264
554,3639,23959,125,197,87,140
554,3639,23959,116,239,97,131
554,3639,23960,125,197,87,140
554,3639,23960,116,239,97,131
45,330022,38896,488,211,483,141
45,330022,38896,466,234,464,176
45,330022,38897,488,211,483,141
45,330022,38897,466,234,464,176
1071,1640,68234,191,99,165,80
1071,1640,68234,187,104,175,81
1071,1640,68236,191,99,165,80
1071,1640,68236,187,104,175,81
1072,16533,88456,950,473,466,362
1072,16533,88456,856,682,378,420
1072,16533,88457,950,473,466,362
1072,16533,88457,856,682,378,420
1072,16533,88458,950,473,466,362
1072,16533,88458,856,682,378,420
1075,13687,52059,1142,714,1244,469
1075,13687,52059,1111,737,1159,500
1075,13687,52060,1142,714,1244,469
1075,13687,52060,1111,737,1159,500
1075,13687,52061,1142,714,1244,469
1075,13687,52061,1111,737,1159,500
1075,16571,52059,390,218,66,122
1075,16571,52059,444,100,70,142
1075,16571,52060,390,218,66,122
1075,16571,52060,444,100,70,142
1075,16571,52061,390,218,66,122
1075,16571,52061,444,100,70,142
1590,6781,53199,6,848,201,611
1590,6781,53199,2,832,210,613
1590,6781,53200,6,848,201,611
1590,6781,53200,2,832,210,613
1590,6781,53201,6,848,201,611
1590,6781,53201,2,832,210,613
1590,6781,53202,6,848,201,611
1590,6781,53202,2,832,210,613
1590,18658,53199,471,378,239,352
1590,18658,53199,437,464,248,258
1590,18658,53200,471,378,239,352
1590,18658,53200,437,464,248,258
1590,18658,53201,471,378,239,352
1590,18658,53201,437,464,248,258
1590,18658,53202,471,378,239,352
1590,18658,53202,437,464,248,258
1590,3147,53199,554,257,456,151
1590,3147,53199,856,363,448,241
1590,3147,53199,860,249,456,221
1590,3147,53200,554,257,456,151
1590,3147,53200,856,363,448,241
1590,3147,53200,860,249,456,221
1590,3147,53201,554,257,456,151
1590,3147,53201,856,363,448,241
1590,3147,53201,860,249,456,221
1590,3147,53202,554,257,456,151
1590,3147,53202,856,363,448,241
1590,3147,53202,860,249,456,221
1590,18538,53199,188,175,66,149
1590,18538,53199,184,187,76,129
1590,18538,53200,188,175,66,149
1590,18538,53200,184,187,76,129
1590,18538,53201,188,175,66,149
1590,18538,53201,184,187,76,129
1590,18538,53202,188,175,66,149
1590,18538,53202,184,187,76,129
1590,14533,53199,755,590,50,380
1590,14533,53199,790,580,80,345
1590,14533,53200,755,590,50,380
1590,14533,53200,790,580,80,345
1590,14533,53201,755,590,50,380
1590,14533,53201,790,580,80,345
1590,14533,53202,755,590,50,380
1590,14533,53202,790,580,80,345
1590,649,53199,360,109,24,75
1590,649,53199,371,98,26,77
1590,649,53200,360,109,24,75
1590,649,53200,371,98,26,77
1590,649,53201,360,109,24,75
1590,649,53201,371,98,26,77
1590,649,53202,360,109,24,75
1590,649,53202,371,98,26,77
1590,12554,53199,553,323,54,309
1590,12554,53199,582,272,80,304
1590,12554,53200,553,323,54,309
1590,12554,53200,582,272,80,304
1590,12554,53201,553,323,54,309
1590,12554,53201,582,272,80,304
1590,12554,53202,553,323,54,309
1590,12554,53202,582,272,80,304
