id,cons,shop,left,width,top,height
3586,7885,72908,880,636,1870,1190
3586,7885,72909,880,636,1870,1190
3586,16530,72908,2517,342,1950,1057
3586,16530,72908,2269,311,1997,933
3586,16530,72908,590,684,1663,933
3586,16530,72909,2517,342,1950,1057
3586,16530,72909,2269,311,1997,933
3586,16530,72909,590,684,1663,933
3586,8174,72908,404,514,2125,666
3586,8174,72909,404,514,2125,666
3586,11753,72908,137,169,413,108
3586,11753,72909,137,169,413,108
3586,17163,72908,1197,588,2915,980
3586,17163,72909,1197,588,2915,980
3586,3792,72908,1881,484,2263,960
3586,3792,72908,908,298,1966,379
3586,3792,72908,1718,286,2240,809
3586,3792,72908,11,437,1815,547
3586,3792,72909,1881,484,2263,960
3586,3792,72909,908,298,1966,379
3586,3792,72909,1718,286,2240,809
3586,3792,72909,11,437,1815,547
3586,3317,72908,719,65,2080,180
3586,3317,72908,829,70,2094,203
3586,3317,72909,719,65,2080,180
3586,3317,72909,829,70,2094,203
3586,6578,72908,879,215,1032,658
3586,6578,72908,697,189,993,645
3586,6578,72909,879,215,1032,658
3586,6578,72909,697,189,993,645
3586,2692,72908,420,261,1405,576
3586,2692,72908,753,289,1429,504
3586,2692,72909,420,261,1405,576
3586,2692,72909,753,289,1429,504
3586,15083,72908,516,146,840,261
3586,15083,72909,516,146,840,261
3586,13712,72908,490,331,818,351
3586,13712,72909,490,331,818,351
3586,5102,72908,320,160,794,310
3586,5102,72909,320,160,794,310
3586,16002,72908,446,593,1331,447
3586,16002,72909,446,593,1331,447
3586,13011,72908,781,665,1993,484
3586,13011,72909,781,665,1993,484
3586,3124,72908,350,81,1748,162
3586,3124,72908,525,77,1744,158
3586,3124,72909,350,81,1748,162
3586,3124,72909,525,77,1744,158
3586,10501,72908,1453,133,1211,325
3586,10501,72908,1353,298,1193,334
3586,10501,72909,1453,133,1211,325
3586,10501,72909,1353,298,1193,334
3586,11591,72908,985,442,1929,680
3586,11591,72909,985,442,1929,680
3586,17077,72908,195,237,815,272
3586,17077,72909,195,237,815,272
3586,7696,72908,323,227,747,405
3586,7696,72909,323,227,747,405
3586,13726,72908,1089,397,2372,642
3586,13726,72909,1089,397,2372,642
3586,12469,72908,228,95,416,136
3586,12469,72909,228,95,416,136
3586,4146,72908,699,881,1847,1125
3586,4146,72909,699,881,1847,1125
1539,5690,71082,1089,104,2239,213
1539,5690,71082,825,109,2220,208
1539,5690,71083,1089,104,2239,213
1539,5690,71083,825,109,2220,208
1539,3175,71082,535,432,1486,895
1539,3175,71083,535,432,1486,895
1539,2257,71082,1632,720,2283,230
1539,2257,71083,1632,720,2283,230
1539,17822,71082,815,1014,2962,1291
1539,17822,71083,815,1014,2962,1291
1539,3458,71082,373,78,814,146
1539,3458,71082,329,54,840,119
1539,3458,71083,373,78,814,146
1539,3458,71083,329,54,840,119
1539,2168,71082,224,175,660,231
1539,2168,71083,224,175,660,231
1539,3134,71082,34,455,86,659
1539,3134,71082,658,149,411,69
1539,3134,71083,34,455,86,659
1539,3134,71083,658,149,411,69
1539,7888,71082,443,192,691,492
1539,7888,71083,443,192,691,492
1539,5064,71082,680,677,936,1112
1539,5064,71083,680,677,936,1112
1539,6335,71082,955,476,990,648
1539,6335,71082,317,232,1161,463
1539,6335,71083,955,476,990,648
1539,6335,71083,317,232,1161,463
1539,12148,71082,830,365,1955,930
1539,12148,71083,830,365,1955,930
1539,13102,71082,373,287,621,587
1539,13102,71083,373,287,621,587
1539,15584,71082,408,396,1249,409
1539,15584,71083,408,396,1249,409
1539,8378,71082,1115,794,2431,1206
1539,8378,71083,1115,794,2431,1206
1539,8881,71082,150,182,600,60
1539,8881,71083,150,182,600,60
1539,14395,71082,531,309,881,532
1539,14395,71083,531,309,881,532
1539,2127,71082,388,116,680,178
1539,2127,71083,388,116,680,178
1539,14717,71082,242,102,573,156
1539,14717,71083,242,102,573,156
518,2611,72694,595,805,1615,935
518,2611,72695,595,805,1615,935
1032,8829,82210,209,92,618,42
1032,8829,82210,258,69,605,56
1032,8829,82211,209,92,618,42
1032,8829,82211,258,69,605,56
2569,16358,84920,336,184,576,345
2569,16358,84921,336,184,576,345
2569,9914,84920,1002,741,2179,269
2569,9914,84921,1002,741,2179,269
2058,15955,83760,1247,234,1859,554
2058,15955,83760,932,245,1888,537
2058,15955,83761,1247,234,1859,554
2058,15955,83761,932,245,1888,537
2058,15955,83762,1247,234,1859,554
2058,15955,83762,932,245,1888,537
2058,9806,83760,236,59,418,215
2058,9806,83760,117,93,420,201
2058,9806,83761,236,59,418,215
2058,9806,83761,117,93,420,201
2058,9806,83762,236,59,418,215
2058,9806,83762,117,93,420,201
2058,8509,83760,178,184,816,140
2058,8509,83761,178,184,816,140
2058,8509,83762,178,184,816,140
2058,9021,83760,224,54,385,200
2058,9021,83760,174,50,390,82
2058,9021,83761,224,54,385,200
2058,9021,83761,174,50,390,82
