id,cons,shop,left,width,top,height
10246,330169,79807,623,927,681,939
10246,330169,79808,623,927,681,939
10246,330169,79809,623,927,681,939
10246,330169,79810,623,927,681,939
10246,330169,79811,623,927,681,939
10246,9051,79807,289,247,113,309
10246,9051,79808,289,247,113,309
10246,9051,79809,289,247,113,309
10246,9051,79810,289,247,113,309
10246,9051,79811,289,247,113,309
10246,7302,79807,110,133,211,130
10246,7302,79808,110,133,211,130
10246,7302,79809,110,133,211,130
10246,7302,79810,110,133,211,130
10246,7302,79811,110,133,211,130
6154,13979,55182,823,372,1152,539
6154,13979,55183,823,372,1152,539
6154,13979,55184,823,372,1152,539
6154,13979,55185,823,372,1152,539
6154,2031,55182,234,1452,891,1778
6154,2031,55183,234,1452,891,1778
6154,2031,55184,234,1452,891,1778
6154,2031,55185,234,1452,891,1778
6154,17880,55182,139,1399,1010,1337
6154,17880,55183,139,1399,1010,1337
6154,17880,55184,139,1399,1010,1337
6154,17880,55185,139,1399,1010,1337
6154,5341,55182,739,804,339,1074
6154,5341,55183,739,804,339,1074
6154,5341,55184,739,804,339,1074
6154,5341,55185,739,804,339,1074
10,17231,31630,130,224,186,276
10,17231,31630,144,2,482,2
10,17231,31630,282,2,430,2
10,17231,31631,130,224,186,276
10,17231,31631,144,2,482,2
10,17231,31631,282,2,430,2
10,17231,31632,130,224,186,276
10,17231,31632,144,2,482,2
10,17231,31632,282,2,430,2
10,17231,31633,130,224,186,276
10,17231,31633,144,2,482,2
10,17231,31633,282,2,430,2
10,17231,31634,130,224,186,276
10,17231,31634,144,2,482,2
10,17231,31634,282,2,430,2
6156,10717,40306,388,133,169,266
6156,10717,40307,388,133,169,266
6156,10717,40308,388,133,169,266
6156,10717,40309,388,133,169,266
2071,17504,58690,205,397,138,363
2071,17504,58691,205,397,138,363
2071,17504,58692,205,397,138,363
2071,17504,58693,205,397,138,363
12311,12450,89338,133,725,175,786
12311,12450,89339,133,725,175,786
12311,12450,89340,133,725,175,786
12311,12450,89341,133,725,175,786
4119,6142,30971,915,805,985,570
4119,6142,30972,915,805,985,570
4119,6142,30973,915,805,985,570
4119,6142,30974,915,805,985,570
4119,6142,30977,915,805,985,570
4119,6142,30980,915,805,985,570
4119,6142,30983,915,805,985,570
4119,8923,30971,108,197,81,213
4119,8923,30972,108,197,81,213
4119,8923,30973,108,197,81,213
4119,8923,30974,108,197,81,213
4119,8923,30977,108,197,81,213
4119,8923,30980,108,197,81,213
4119,8923,30983,108,197,81,213
33,5474,76174,97,90,291,107
33,5474,76174,336,139,389,153
33,5474,76175,97,90,291,107
33,5474,76175,336,139,389,153
33,5474,76176,97,90,291,107
33,5474,76176,336,139,389,153
33,5474,76177,97,90,291,107
33,5474,76177,336,139,389,153
33,11963,76174,118,512,356,269
33,11963,76175,118,512,356,269
33,11963,76176,118,512,356,269
33,11963,76177,118,512,356,269
8226,329815,41538,366,108,214,297
8226,329815,41538,264,42,246,276
8226,329815,41539,366,108,214,297
8226,329815,41539,264,42,246,276
8226,329815,41540,366,108,214,297
8226,329815,41540,264,42,246,276
8226,329815,41541,366,108,214,297
8226,329815,41541,264,42,246,276
8226,329815,41542,366,108,214,297
8226,329815,41542,264,42,246,276
6180,330458,22908,708,1673,559,1425
6180,330458,22909,708,1673,559,1425
6180,330458,22910,708,1673,559,1425
6180,330458,22911,708,1673,559,1425
6180,330458,22912,708,1673,559,1425
6180,1182,22908,111,842,382,740
6180,1182,22909,111,842,382,740
6180,1182,22910,111,842,382,740
6180,1182,22911,111,842,382,740
6180,1182,22912,111,842,382,740
6180,8423,22908,129,183,133,225
6180,8423,22909,129,183,133,225
6180,8423,22910,129,183,133,225
6180,8423,22911,129,183,133,225
6180,8423,22912,129,183,133,225
8238,16552,56953,760,585,590,410
8238,16552,56954,760,585,590,410
8238,16552,56955,760,585,590,410
6195,11249,85354,1725,1308,1074,803
6195,11249,85355,1725,1308,1074,803
6195,11249,85356,1725,1308,1074,803
6195,11249,85357,1725,1308,1074,803
6195,11249,98041,1725,1308,1074,803
16436,14104,25189,26,426,279,376
16436,14104,25190,26,426,279,376
16436,14104,25191,26,426,279,376
16436,14104,25192,26,426,279,376
10303,9058,84287,308,972,623,1677
10303,9058,84287,1746,979,1631,1181
10303,9058,84288,308,972,623,1677
10303,9058,84288,1746,979,1631,1181
10303,9058,84289,308,972,623,1677
10303,9058,84289,1746,979,1631,1181
10303,9058,84290,308,972,623,1677
10303,9058,84290,1746,979,1631,1181
10303,9058,84291,308,972,623,1677
10303,9058,84291,1746,979,1631,1181
8256,3893,64643,76,469,157,714
8256,3893,64644,76,469,157,714
8256,3893,64645,76,469,157,714
8256,3893,64646,76,469,157,714
8256,17395,64643,242,574,727,838
8256,17395,64644,242,574,727,838
8256,17395,64645,242,574,727,838
8256,17395,64646,242,574,727,838
8256,6057,64643,933,1677,1097,2437
8256,6057,64644,933,1677,1097,2437
8256,6057,64645,933,1677,1097,2437
8256,6057,64646,933,1677,1097,2437
8256,454,64643,132,159,166,270
8256,454,64644,132,159,166,270
8256,454,64645,132,159,166,270
8256,454,64646,132,159,166,270
8258,13499,28423,907,1236,1399,1737
8258,13499,28424,907,1236,1399,1737
8258,13499,28425,907,1236,1399,1737
8258,13499,28426,907,1236,1399,1737
8258,13499,28427,907,1236,1399,1737
8258,13499,28428,907,1236,1399,1737
8258,5538,28423,1192,1443,881,2299
8258,5538,28424,1192,1443,881,2299
8258,5538,28425,1192,1443,881,2299
8258,5538,28426,1192,1443,881,2299
8258,5538,28427,1192,1443,881,2299
8258,5538,28428,1192,1443,881,2299
2115,330377,39105,547,991,740,1621
2115,330377,39106,547,991,740,1621
2115,330377,39107,547,991,740,1621
2115,330377,39108,547,991,740,1621
2115,330377,39109,547,991,740,1621
14404,330004,56211,15,260,98,423
14404,330004,56212,15,260,98,423
14404,330004,56213,15,260,98,423
14404,330004,56214,15,260,98,423
4173,1512,57851,257,872,542,863
4173,1512,57852,257,872,542,863
4173,1512,57853,257,872,542,863
4173,1512,57854,257,872,542,863
78,13,62686,440,1270,580,1100
78,13,62687,440,1270,580,1100
78,13,62688,440,1270,580,1100
78,13,62689,440,1270,580,1100
78,13,62690,440,1270,580,1100
81,4513,32483,515,294,700,473
81,4513,32484,515,294,700,473
81,4513,32485,515,294,700,473
81,4513,32486,515,294,700,473
81,4513,32487,515,294,700,473
12372,251585,37957,161,223,138,309
12372,251585,37958,161,223,138,309
12372,251585,37959,161,223,138,309
12372,251585,37960,161,223,138,309
12372,251585,37961,161,223,138,309
14424,17919,59307,419,146,284,509
14424,17919,59308,419,146,284,509
14424,17919,59309,419,146,284,509
14424,17919,59310,419,146,284,509
14424,17919,59313,419,146,284,509
16484,5700,29290,197,784,529,1001
16484,5700,29291,197,784,529,1001
16484,5700,29292,197,784,529,1001
16484,5700,29293,197,784,529,1001
16484,5700,29294,197,784,529,1001
6245,17119,83073,0,954,395,876
6245,17119,83075,0,954,395,876
6245,17119,83076,0,954,395,876
6245,17119,83077,0,954,395,876
6245,17119,83078,0,954,395,876
6245,17279,83073,501,487,661,608
6245,17279,83075,501,487,661,608
6245,17279,83076,501,487,661,608
