id,cons,shop,left,width,top,height
1024,4939,71272,134,426,524,325
1024,4939,71272,156,394,556,288
1024,4939,71273,134,426,524,325
1024,4939,71273,156,394,556,288
1024,4939,71274,134,426,524,325
1024,4939,71274,156,394,556,288
1024,4939,71275,134,426,524,325
1024,4939,71275,156,394,556,288
1024,2560,71272,144,156,250,318
1024,2560,71272,128,185,246,333
1024,2560,71273,144,156,250,318
1024,2560,71273,128,185,246,333
1024,2560,71274,144,156,250,318
1024,2560,71274,128,185,246,333
1024,2560,71275,144,156,250,318
1024,2560,71275,128,185,246,333
520,7682,21815,121,230,246,359
520,7682,21817,121,230,246,359
520,7682,21819,121,230,246,359
520,7682,21820,121,230,246,359
3595,15116,18976,837,505,680,1014
3595,15116,18977,837,505,680,1014
3595,15116,18978,837,505,680,1014
3595,15116,18979,837,505,680,1014
3595,17862,18976,1812,432,2214,473
3595,17862,18976,1142,647,2535,292
3595,17862,18977,1812,432,2214,473
3595,17862,18977,1142,647,2535,292
3595,17862,18978,1812,432,2214,473
3595,17862,18978,1142,647,2535,292
3595,17862,18979,1812,432,2214,473
3595,17862,18979,1142,647,2535,292
3595,1859,18976,252,255,651,309
3595,1859,18977,252,255,651,309
3595,1859,18978,252,255,651,309
3595,1859,18979,252,255,651,309
3595,11279,18976,300,378,561,576
3595,11279,18977,300,378,561,576
3595,11279,18978,300,378,561,576
3595,11279,18979,300,378,561,576
3595,14488,18976,370,895,1360,1305
3595,14488,18977,370,895,1360,1305
3595,14488,18978,370,895,1360,1305
3595,14488,18979,370,895,1360,1305
3595,8408,18976,530,716,1397,962
3595,8408,18977,530,716,1397,962
3595,8408,18978,530,716,1397,962
3595,8408,18979,530,716,1397,962
3595,18229,18976,114,215,589,410
3595,18229,18977,114,215,589,410
3595,18229,18978,114,215,589,410
3595,18229,18979,114,215,589,410
3595,15067,18976,72,264,569,432
3595,15067,18977,72,264,569,432
3595,15067,18978,72,264,569,432
3595,15067,18979,72,264,569,432
5651,100642,39568,868,636,1310,1713
5651,100642,39568,868,590,1213,1804
5651,100642,39569,868,636,1310,1713
5651,100642,39569,868,590,1213,1804
5651,100642,39570,868,636,1310,1713
5651,100642,39570,868,590,1213,1804
5651,100642,39571,868,636,1310,1713
5651,100642,39571,868,590,1213,1804
5651,2177,39568,1707,6,641,6
5651,2177,39568,693,898,1177,1621
5651,2177,39568,664,1160,571,2291
5651,2177,39569,1707,6,641,6
5651,2177,39569,693,898,1177,1621
5651,2177,39569,664,1160,571,2291
5651,2177,39570,1707,6,641,6
