id,cons,shop,left,width,top,height
18432,5229,78267,187,240,147,208
18432,5229,78268,187,240,147,208
18432,5229,78269,187,240,147,208
18432,5229,78270,187,240,147,208
18432,5229,78271,187,240,147,208
18432,5229,78272,187,240,147,208
18432,7929,78267,256,333,271,385
18432,7929,78268,256,333,271,385
18432,7929,78269,256,333,271,385
18432,7929,78270,256,333,271,385
18432,7929,78271,256,333,271,385
18432,7929,78272,256,333,271,385
10241,2330,54192,402,735,751,717
10241,2330,54193,402,735,751,717
10241,2330,54194,402,735,751,717
32770,329893,53455,1254,440,616,1099
32770,329893,53456,1254,440,616,1099
32770,329893,53457,1254,440,616,1099
32770,329893,53458,1254,440,616,1099
32770,16088,53455,707,625,258,630
32770,16088,53456,707,625,258,630
32770,16088,53457,707,625,258,630
32770,16088,53458,707,625,258,630
20482,5053,77651,405,1160,455,1195
20482,5053,77652,405,1160,455,1195
20482,5053,77653,405,1160,455,1195
20482,5053,77654,405,1160,455,1195
20482,5053,77655,405,1160,455,1195
16390,11813,42941,146,1273,405,743
16390,11813,42942,146,1273,405,743
16390,11813,42943,146,1273,405,743
16390,11813,42944,146,1273,405,743
28679,8097,55113,140,531,313,599
28679,8097,55114,140,531,313,599
28679,8097,55115,140,531,313,599
28679,8097,55116,140,531,313,599
28679,15832,55113,602,863,658,882
28679,15832,55114,602,863,658,882
28679,15832,55115,602,863,658,882
28679,15832,55116,602,863,658,882
28679,858,55113,187,454,513,658
28679,858,55114,187,454,513,658
28679,858,55115,187,454,513,658
28679,858,55116,187,454,513,658
18442,11918,85849,1304,1772,1123,1763
18442,11918,85851,1304,1772,1123,1763
18442,11918,85853,1304,1772,1123,1763
18442,11918,85855,1304,1772,1123,1763
6157,3681,61962,263,995,526,1151
6157,3681,61964,263,995,526,1151
6157,3681,61966,263,995,526,1151
6157,3681,61968,263,995,526,1151
6157,11706,61962,681,1767,349,2058
6157,11706,61964,681,1767,349,2058
6157,11706,61966,681,1767,349,2058
6157,11706,61968,681,1767,349,2058
6157,100,61962,646,1085,600,1003
6157,100,61964,646,1085,600,1003
6157,100,61966,646,1085,600,1003
6157,100,61968,646,1085,600,1003
18445,14387,50474,4,358,259,527
18445,14387,50475,4,358,259,527
18445,14387,50476,4,358,259,527
18445,14387,50478,4,358,259,527
16,1202,51528,304,493,492,760
16,1202,51529,304,493,492,760
16,1202,51530,304,493,492,760
16,1202,51531,304,493,492,760
20497,329850,54643,150,234,170,320
20497,329850,54645,150,234,170,320
20497,329850,54646,150,234,170,320
20497,329850,54647,150,234,170,320
14354,15847,59414,91,439,117,392
14354,15847,59415,91,439,117,392
14354,15847,59416,91,439,117,392
