id,left,width,top,height,cons_path,shop_path
8198,1060,1735,3125,1739,000002563,000039100
8198,1060,1735,3125,1739,000002563,000039101
8198,1060,1735,3125,1739,000002563,000039102
8198,1060,1735,3125,1739,000002563,000039103
8198,1060,1735,3125,1739,000002563,000039104
8198,330,375,1525,970,000009675,000039100
8198,330,375,1525,970,000009675,000039101
8198,330,375,1525,970,000009675,000039102
8198,330,375,1525,970,000009675,000039103
8198,330,375,1525,970,000009675,000039104
8198,264,148,210,389,000012475,000039100
8198,264,148,210,389,000012475,000039101
8198,264,148,210,389,000012475,000039102
8198,264,148,210,389,000012475,000039103
8198,264,148,210,389,000012475,000039104
8198,1373,1176,1356,3180,000010426,000039100
8198,1373,1176,1356,3180,000010426,000039101
8198,1373,1176,1356,3180,000010426,000039102
8198,1373,1176,1356,3180,000010426,000039103
8198,1373,1176,1356,3180,000010426,000039104
8198,705,735,943,1844,000014364,000039100
8198,705,735,943,1844,000014364,000039101
8198,705,735,943,1844,000014364,000039102
8198,705,735,943,1844,000014364,000039103
8198,705,735,943,1844,000014364,000039104
8198,13,96,148,142,000005994,000039100
8198,13,96,148,142,000005994,000039101
8198,13,96,148,142,000005994,000039102
8198,13,96,148,142,000005994,000039103
8198,13,96,148,142,000005994,000039104
8198,1072,455,1865,455,000009128,000039100
8198,1072,455,1865,455,000009128,000039101
8198,1072,455,1865,455,000009128,000039102
8198,1072,455,1865,455,000009128,000039103
8198,1072,455,1865,455,000009128,000039104
9741,2160,482,2084,1189,000012219,000039265
9741,2160,482,2084,1189,000012219,000039266
9741,2160,482,2084,1189,000012219,000039267
9741,2160,482,2084,1189,000012219,000039268
9741,2160,482,2084,1189,000012219,000039269
9741,2677,2061,826,2467,000004877,000039265
9741,2677,2061,826,2467,000004877,000039266
9741,2677,2061,826,2467,000004877,000039267
9741,2677,2061,826,2467,000004877,000039268
9741,2677,2061,826,2467,000004877,000039269
9741,705,263,1397,177,000016353,000039265
9741,705,263,1397,177,000016353,000039266
9741,705,263,1397,177,000016353,000039267
9741,705,263,1397,177,000016353,000039268
9741,705,263,1397,177,000016353,000039269
9741,954,514,1049,983,000010761,000039265
9741,954,514,1049,983,000010761,000039266
9741,954,514,1049,983,000010761,000039267
9741,954,514,1049,983,000010761,000039268
9741,954,514,1049,983,000010761,000039269
7696,629,2235,2097,3375,000098524,000038948
7696,629,2235,2097,3375,000098524,000038949
7696,629,2235,2097,3375,000098524,000038950
7696,629,2235,2097,3375,000098524,000038951
2579,370,86,778,390,000011904,000039056
2579,370,86,778,390,000011904,000039057
2579,370,86,778,390,000011904,000039058
2579,370,86,778,390,000011904,000039059
2579,370,86,778,390,000011904,000039060
2579,272,91,893,216,000017868,000039056
2579,272,91,893,216,000017868,000039057
2579,272,91,893,216,000017868,000039058
2579,272,91,893,216,000017868,000039059
2579,272,91,893,216,000017868,000039060
2579,128,199,756,204,000014989,000039056
2579,128,199,756,204,000014989,000039057
2579,128,199,756,204,000014989,000039058
2579,128,199,756,204,000014989,000039059
2579,128,199,756,204,000014989,000039060
2579,134,234,490,212,000016454,000039056
2579,134,234,490,212,000016454,000039057
2579,134,234,490,212,000016454,000039058
2579,134,234,490,212,000016454,000039059
2579,134,234,490,212,000016454,000039060
2579,412,195,915,436,000003283,000039056
2579,412,195,915,436,000003283,000039057
2579,412,195,915,436,000003283,000039058
2579,412,195,915,436,000003283,000039059
2579,412,195,915,436,000003283,000039060
2579,728,980,617,1615,000010123,000039056
2579,728,980,617,1615,000010123,000039057
2579,728,980,617,1615,000010123,000039058
2579,728,980,617,1615,000010123,000039059
2579,728,980,617,1615,000010123,000039060
2579,83,139,918,162,000009161,000039056
2579,83,139,918,162,000009161,000039057
2579,83,139,918,162,000009161,000039058
2579,83,139,918,162,000009161,000039059
2579,83,139,918,162,000009161,000039060
2579,75,94,153,254,000004890,000039056
2579,160,120,515,84,000004890,000039056
2579,75,94,153,254,000004890,000039057
2579,160,120,515,84,000004890,000039057
2579,75,94,153,254,000004890,000039058
2579,160,120,515,84,000004890,000039058
2579,75,94,153,254,000004890,000039059
2579,160,120,515,84,000004890,000039059
2579,75,94,153,254,000004890,000039060
2579,160,120,515,84,000004890,000039060
2579,85,133,353,647,000000150,000039056
2579,85,133,353,647,000000150,000039057
2579,85,133,353,647,000000150,000039058
2579,85,133,353,647,000000150,000039059
2579,85,133,353,647,000000150,000039060
2579,441,176,418,187,000004550,000039056
2579,441,176,418,187,000004550,000039057
2579,441,176,418,187,000004550,000039058
2579,441,176,418,187,000004550,000039059
2579,441,176,418,187,000004550,000039060
2579,543,623,382,1231,000002238,000039056
2579,543,623,382,1231,000002238,000039057
2579,543,623,382,1231,000002238,000039058
2579,543,623,382,1231,000002238,000039059
2579,543,623,382,1231,000002238,000039060
2579,226,331,597,574,000015209,000039056
2579,226,331,597,574,000015209,000039057
2579,226,331,597,574,000015209,000039058
2579,226,331,597,574,000015209,000039059
2579,226,331,597,574,000015209,000039060
2579,516,341,789,689,000010086,000039056
2579,516,341,789,689,000010086,000039057
2579,516,341,789,689,000010086,000039058
2579,516,341,789,689,000010086,000039059
2579,516,341,789,689,000010086,000039060
2579,543,630,202,1366,000016496,000039056
2579,543,630,202,1366,000016496,000039057
2579,543,630,202,1366,000016496,000039058
2579,543,630,202,1366,000016496,000039059
2579,543,630,202,1366,000016496,000039060
2579,338,266,328,558,000011452,000039056
2579,338,266,328,558,000011452,000039057
2579,338,266,328,558,000011452,000039058
2579,338,266,328,558,000011452,000039059
2579,338,266,328,558,000011452,000039060
2579,804,449,804,828,000013058,000039056
2579,804,449,804,828,000013058,000039057
2579,804,449,804,828,000013058,000039058
2579,804,449,804,828,000013058,000039059
2579,804,449,804,828,000013058,000039060
2579,144,196,759,227,000006571,000039056
2579,144,196,759,227,000006571,000039057
2579,144,196,759,227,000006571,000039058
2579,144,196,759,227,000006571,000039059
2579,144,196,759,227,000006571,000039060
2579,478,70,1138,152,000016911,000039056
2579,478,70,1138,152,000016911,000039057
2579,478,70,1138,152,000016911,000039058
2579,478,70,1138,152,000016911,000039059
2579,478,70,1138,152,000016911,000039060
2579,56,195,467,166,000006251,000039056
2579,56,195,467,166,000006251,000039057
2579,56,195,467,166,000006251,000039058
2579,56,195,467,166,000006251,000039059
2579,56,195,467,166,000006251,000039060
2579,537,128,816,208,000017708,000039056
2579,537,128,816,208,000017708,000039057
2579,537,128,816,208,000017708,000039058
2579,537,128,816,208,000017708,000039059
2579,537,128,816,208,000017708,000039060
2579,1668,202,1275,595,000013027,000039056
2579,1668,202,1275,595,000013027,000039057
2579,1668,202,1275,595,000013027,000039058
2579,1668,202,1275,595,000013027,000039059
2579,1668,202,1275,595,000013027,000039060
