id,left,width,top,height,cons_path,shop_path
768,155,139,343,65,000001723,000034895
768,155,139,343,65,000001723,000034896
768,260,307,754,74,000013047,000034895
768,260,307,754,74,000013047,000034896
768,387,533,1587,126,000018754,000034895
768,387,533,1587,126,000018754,000034896
768,845,537,623,152,000329827,000034895
768,845,537,623,152,000329827,000034896
768,350,155,440,39,000017697,000034895
768,350,155,440,39,000017697,000034896
768,242,316,917,167,000330363,000034895
768,242,316,917,167,000330363,000034896
768,820,266,580,118,000001014,000034895
768,820,266,580,118,000001014,000034896
768,213,181,434,49,000006471,000034895
768,213,181,434,49,000006471,000034896
768,699,1073,1008,601,000011117,000034895
768,699,1073,1008,601,000011117,000034896
768,171,175,209,65,000018291,000034895
768,171,175,209,65,000018291,000034896
768,203,578,811,291,000002777,000034895
768,203,578,811,291,000002777,000034896
768,395,53,550,45,000014754,000034895
768,395,53,550,45,000014754,000034896
904,110,169,364,47,000330490,000034725
904,110,169,364,47,000330490,000034727
904,324,155,557,58,000001057,000034725
904,324,155,557,58,000001057,000034727
904,480,297,813,59,000015894,000034725
904,480,297,813,59,000015894,000034727
904,1165,601,833,344,000330415,000034725
904,1165,601,833,344,000330415,000034727
904,604,384,1309,169,000015143,000034725
904,604,384,1309,169,000015143,000034727
904,507,589,686,132,000002145,000034725
904,507,589,686,132,000002145,000034727
904,819,313,979,164,000329889,000034725
904,819,313,979,164,000329889,000034727
904,443,198,204,46,000004030,000034725
904,443,198,204,46,000004030,000034727
904,661,316,877,143,000008790,000034725
904,661,316,877,143,000008790,000034727
904,735,392,829,147,000016560,000034725
904,735,392,829,147,000016560,000034727
904,242,150,321,74,000000829,000034725
904,242,150,321,74,000000829,000034727
904,125,76,216,21,000013827,000034725
904,125,76,216,21,000013827,000034727
904,162,154,205,21,000004820,000034725
904,162,154,205,21,000004820,000034727
11,232,118,362,28,000004619,000034863
11,232,118,362,28,000004619,000034864
11,373,323,760,56,000005560,000034863
11,373,323,760,56,000005560,000034864
11,904,299,754,90,000004125,000034863
11,904,299,754,90,000004125,000034864
11,544,395,844,55,000000784,000034863
11,544,395,844,55,000000784,000034864
11,181,138,0,100,000012993,000034863
11,173,122,199,78,000012993,000034863
11,186,73,218,35,000012993,000034863
11,181,138,0,100,000012993,000034864
11,173,122,199,78,000012993,000034864
11,186,73,218,35,000012993,000034864
11,370,376,778,79,000100657,000034863
11,370,376,778,79,000100657,000034864
11,246,121,210,48,000329877,000034863
11,246,121,210,48,000329877,000034864
11,240,275,596,88,000251591,000034863
11,240,275,596,88,000251591,000034864
11,541,469,830,216,000000709,000034863
11,541,469,830,216,000000709,000034864
11,393,228,586,67,000007970,000034863
11,393,228,586,67,000007970,000034864
33,686,425,810,180,000017197,000062765
33,686,425,810,180,000017197,000062766
33,686,425,810,180,000017197,000062767
33,26,241,350,84,000000936,000062765
33,471,417,742,122,000000936,000062765
33,26,241,350,84,000000936,000062766
33,471,417,742,122,000000936,000062766
33,26,241,350,84,000000936,000062767
33,471,417,742,122,000000936,000062767
33,189,216,261,135,000006069,000062765
33,189,216,261,135,000006069,000062766
33,189,216,261,135,000006069,000062767
33,783,434,1054,157,000006014,000062765
33,783,434,1054,157,000006014,000062766
33,783,434,1054,157,000006014,000062767
33,740,347,649,224,000018512,000062765
33,740,347,649,224,000018512,000062766
33,740,347,649,224,000018512,000062767
33,553,828,1375,438,000011568,000062765
33,553,828,1375,438,000011568,000062766
33,553,828,1375,438,000011568,000062767
33,944,449,1538,379,000009683,000062765
