id,left,width,top,height,cons_path,shop_path
645,330,244,617,174,000017147,000063525
645,330,244,617,174,000017147,000063526
645,330,244,617,174,000017147,000063527
645,330,244,617,174,000017147,000063528
645,174,80,65,65,000000132,000063525
645,174,80,65,65,000000132,000063526
645,174,80,65,65,000000132,000063527
645,174,80,65,65,000000132,000063528
645,677,127,532,52,000006755,000063525
645,677,127,532,52,000006755,000063526
645,677,127,532,52,000006755,000063527
645,677,127,532,52,000006755,000063528
645,240,35,218,16,000005923,000063525
645,240,35,218,16,000005923,000063526
645,240,35,218,16,000005923,000063527
645,240,35,218,16,000005923,000063528
645,2,96,304,85,000017472,000063525
645,2,96,304,85,000017472,000063526
645,2,96,304,85,000017472,000063527
645,2,96,304,85,000017472,000063528
645,322,59,112,29,000001525,000063525
645,322,59,112,29,000001525,000063526
645,322,59,112,29,000001525,000063527
645,322,59,112,29,000001525,000063528
645,505,351,232,186,000000906,000063525
645,505,351,232,186,000000906,000063526
645,505,351,232,186,000000906,000063527
645,505,351,232,186,000000906,000063528
645,280,113,87,68,000016261,000063525
645,280,113,87,68,000016261,000063526
645,280,113,87,68,000016261,000063527
645,280,113,87,68,000016261,000063528
645,180,172,182,19,000017285,000063525
645,180,172,182,19,000017285,000063526
645,180,172,182,19,000017285,000063527
645,180,172,182,19,000017285,000063528
645,220,82,72,45,000015034,000063525
645,220,82,72,45,000015034,000063526
645,220,82,72,45,000015034,000063527
645,220,82,72,45,000015034,000063528
645,211,69,62,56,000011437,000063525
645,211,69,62,56,000011437,000063526
645,211,69,62,56,000011437,000063527
645,211,69,62,56,000011437,000063528
645,1091,327,180,124,000006567,000063525
645,1091,327,180,124,000006567,000063526
645,1091,327,180,124,000006567,000063527
645,1091,327,180,124,000006567,000063528
645,162,215,238,107,000009923,000063525
645,162,215,238,107,000009923,000063526
645,162,215,238,107,000009923,000063527
645,162,215,238,107,000009923,000063528
645,251,32,161,29,000005324,000063525
645,251,32,161,29,000005324,000063526
645,251,32,161,29,000005324,000063527
645,251,32,161,29,000005324,000063528
645,2984,801,471,483,000005947,000063525
645,2984,801,471,483,000005947,000063526
645,2984,801,471,483,000005947,000063527
645,2984,801,471,483,000005947,000063528
774,230,66,200,33,000010513,000052951
774,230,66,200,33,000010513,000052954
774,230,66,200,33,000010513,000052956
774,230,66,200,33,000010513,000097381
774,1719,432,760,173,000003360,000052951
774,1719,432,760,173,000003360,000052954
774,1719,432,760,173,000003360,000052956
774,1719,432,760,173,000003360,000097381
774,342,60,98,59,000015377,000052951
774,342,60,98,59,000015377,000052954
774,342,60,98,59,000015377,000052956
774,342,60,98,59,000015377,000097381
774,177,229,129,77,000014356,000052951
774,177,229,129,77,000014356,000052954
774,177,229,129,77,000014356,000052956
774,177,229,129,77,000014356,000097381
404,985,292,442,123,000014507,000050022
404,985,292,442,123,000014507,000050023
404,985,292,442,123,000014507,000050024
404,985,292,442,123,000014507,000050025
404,985,292,442,123,000014507,000050026
404,145,94,63,19,000008540,000050022
404,145,94,63,19,000008540,000050023
404,145,94,63,19,000008540,000050024
404,145,94,63,19,000008540,000050025
404,145,94,63,19,000008540,000050026
404,208,93,142,17,000002531,000050022
404,208,93,142,17,000002531,000050023
404,208,93,142,17,000002531,000050024
404,208,93,142,17,000002531,000050025
404,208,93,142,17,000002531,000050026
404,254,78,100,40,000016684,000050022
404,254,78,100,40,000016684,000050023
404,254,78,100,40,000016684,000050024
404,254,78,100,40,000016684,000050025
404,254,78,100,40,000016684,000050026
404,863,346,418,193,000014832,000050022
404,863,346,418,193,000014832,000050023
404,863,346,418,193,000014832,000050024
404,863,346,418,193,000014832,000050025
404,863,346,418,193,000014832,000050026
404,263,72,65,22,000251576,000050022
404,263,72,65,22,000251576,000050023
404,263,72,65,22,000251576,000050024
404,263,72,65,22,000251576,000050025
404,263,72,65,22,000251576,000050026
1067,990,370,425,195,000014486,000063275
1067,990,370,425,195,000014486,000063276
1067,990,370,425,195,000014486,000063277
1067,990,370,425,195,000014486,000097320
1067,672,74,107,37,000004407,000063275
1067,672,74,107,37,000004407,000063276
1067,672,74,107,37,000004407,000063277
1067,672,74,107,37,000004407,000097320
1067,521,304,256,156,000002798,000063275
1067,521,304,256,156,000002798,000063276
1067,521,304,256,156,000002798,000063277
1067,521,304,256,156,000002798,000097320
1067,297,281,117,127,000006950,000063275
1067,297,281,117,127,000006950,000063276
1067,297,281,117,127,000006950,000063277
1067,297,281,117,127,000006950,000097320
1067,1520,424,466,372,000001071,000063275
1067,1520,424,466,372,000001071,000063276
1067,1520,424,466,372,000001071,000063277
1067,1520,424,466,372,000001071,000097320
1067,790,245,270,70,000014529,000063275
1067,790,245,270,70,000014529,000063276
1067,790,245,270,70,000014529,000063277
1067,790,245,270,70,000014529,000097320
943,2548,467,2963,493,000002963,000049665
943,2548,467,2963,493,000002963,000049666
943,2548,467,2963,493,000002963,000049668
943,375,131,370,51,000017708,000049665
943,375,131,370,51,000017708,000049666
943,375,131,370,51,000017708,000049668
943,1095,274,1002,123,000007455,000049665
943,1095,274,1002,123,000007455,000049666
943,1095,274,1002,123,000007455,000049668
943,192,82,67,26,000002892,000049665
943,192,82,67,26,000002892,000049666
943,192,82,67,26,000002892,000049668
704,1154,463,499,155,000005551,000050602
704,1141,408,487,192,000005551,000050602
704,1154,463,499,155,000005551,000050603
704,1141,408,487,192,000005551,000050603
704,1154,463,499,155,000005551,000050604
704,1141,408,487,192,000005551,000050604
704,1154,463,499,155,000005551,000050605
704,1141,408,487,192,000005551,000050605
704,198,80,84,30,000001858,000050602
704,210,59,90,20,000001858,000050602
704,198,80,84,30,000001858,000050603
704,210,59,90,20,000001858,000050603
704,198,80,84,30,000001858,000050604
704,210,59,90,20,000001858,000050604
704,198,80,84,30,000001858,000050605
704,210,59,90,20,000001858,000050605
704,214,58,80,24,000002560,000050602
704,211,73,69,42,000002560,000050602
704,214,58,80,24,000002560,000050603
704,211,73,69,42,000002560,000050603
704,214,58,80,24,000002560,000050604
704,211,73,69,42,000002560,000050604
704,214,58,80,24,000002560,000050605
704,211,73,69,42,000002560,000050605
704,788,225,250,110,000012228,000050602
704,788,208,253,130,000012228,000050602
704,788,225,250,110,000012228,000050603
704,788,208,253,130,000012228,000050603
704,788,225,250,110,000012228,000050604
704,788,208,253,130,000012228,000050604
704,788,225,250,110,000012228,000050605
704,788,208,253,130,000012228,000050605
704,177,56,140,18,000000546,000050602
704,154,84,137,39,000000546,000050602
704,177,56,140,18,000000546,000050603
704,154,84,137,39,000000546,000050603
704,177,56,140,18,000000546,000050604
704,154,84,137,39,000000546,000050604
704,177,56,140,18,000000546,000050605
704,154,84,137,39,000000546,000050605
704,16,100,115,76,000014049,000050602
704,22,106,121,63,000014049,000050602
704,16,100,115,76,000014049,000050603
704,22,106,121,63,000014049,000050603
704,16,100,115,76,000014049,000050604
704,22,106,121,63,000014049,000050604
704,16,100,115,76,000014049,000050605
704,22,106,121,63,000014049,000050605
704,2275,186,481,84,000015199,000050602
704,2201,381,425,213,000015199,000050602
704,2275,186,481,84,000015199,000050603
704,2201,381,425,213,000015199,000050603
704,2275,186,481,84,000015199,000050604
704,2201,381,425,213,000015199,000050604
704,2275,186,481,84,000015199,000050605
704,2201,381,425,213,000015199,000050605
704,264,109,62,38,000002335,000050602
704,268,90,62,36,000002335,000050602
704,264,109,62,38,000002335,000050603
704,268,90,62,36,000002335,000050603
704,264,109,62,38,000002335,000050604
704,268,90,62,36,000002335,000050604
704,264,109,62,38,000002335,000050605
704,268,90,62,36,000002335,000050605
704,1265,260,790,240,000003691,000050602
704,1295,240,820,160,000003691,000050602
704,1265,260,790,240,000003691,000050603
704,1295,240,820,160,000003691,000050603
704,1265,260,790,240,000003691,000050604
704,1295,240,820,160,000003691,000050604
704,1265,260,790,240,000003691,000050605
704,1295,240,820,160,000003691,000050605
704,238,52,20,81,000003882,000050602
704,231,83,18,42,000003882,000050602
704,238,52,20,81,000003882,000050603
704,231,83,18,42,000003882,000050603
704,238,52,20,81,000003882,000050604
704,231,83,18,42,000003882,000050604
704,238,52,20,81,000003882,000050605
704,231,83,18,42,000003882,000050605
704,571,194,73,129,000008263,000050602
704,548,180,69,120,000008263,000050602
704,571,194,73,129,000008263,000050603
704,548,180,69,120,000008263,000050603
704,571,194,73,129,000008263,000050604
704,548,180,69,120,000008263,000050604
704,571,194,73,129,000008263,000050605
704,548,180,69,120,000008263,000050605
1225,452,77,130,40,000000812,000048543
1225,452,77,130,40,000000812,000048544
1225,452,77,130,40,000000812,000048545
1225,452,77,130,40,000000812,000097318
1225,585,271,625,169,000013900,000048543
1225,585,271,625,169,000013900,000048544
1225,585,271,625,169,000013900,000048545
1225,585,271,625,169,000013900,000097318
1225,1040,380,353,209,000018569,000048543
1225,1040,380,353,209,000018569,000048544
1225,1040,380,353,209,000018569,000048545
1225,1040,380,353,209,000018569,000097318
1225,1062,449,424,230,000000234,000048543
1225,1062,449,424,230,000000234,000048544
1225,1062,449,424,230,000000234,000048545
1225,1062,449,424,230,000000234,000097318
1225,490,115,183,50,000004676,000048543
1225,490,115,183,50,000004676,000048544
1225,490,115,183,50,000004676,000048545
1225,490,115,183,50,000004676,000097318
1225,963,468,236,208,000011125,000048543
1225,963,468,236,208,000011125,000048544
1225,963,468,236,208,000011125,000048545
1225,963,468,236,208,000011125,000097318
1225,516,139,154,100,000005129,000048543
1225,516,139,154,100,000005129,000048544
1225,516,139,154,100,000005129,000048545
1225,516,139,154,100,000005129,000097318
1225,559,229,778,82,000012765,000048543
1225,559,229,778,82,000012765,000048544
1225,559,229,778,82,000012765,000048545
1225,559,229,778,82,000012765,000097318
1225,861,412,636,180,000008386,000048543
1225,861,412,636,180,000008386,000048544
1225,861,412,636,180,000008386,000048545
1225,861,412,636,180,000008386,000097318
