id,left,width,top,height,cons_path,shop_path
16,99,168,5,164,000003465,000050626
16,84,186,6,166,000003465,000050626
16,99,168,5,164,000003465,000050627
16,84,186,6,166,000003465,000050627
16,337,200,51,115,000014682,000050626
16,337,206,41,126,000014682,000050626
16,337,200,51,115,000014682,000050627
16,337,206,41,126,000014682,000050627
16,678,168,138,180,000006247,000050626
16,655,193,149,152,000006247,000050626
16,20,556,23,548,000006247,000050626
16,38,546,30,546,000006247,000050626
16,678,168,138,180,000006247,000050627
16,655,193,149,152,000006247,000050627
16,20,556,23,548,000006247,000050627
16,38,546,30,546,000006247,000050627
548,570,735,45,430,000002624,000072720
548,495,850,60,525,000002624,000072720
548,570,735,45,430,000002624,000072721
548,495,850,60,525,000002624,000072721
548,165,324,113,207,000017919,000072720
548,163,340,89,283,000017919,000072720
548,165,324,113,207,000017919,000072721
548,163,340,89,283,000017919,000072721
548,139,213,38,93,000006296,000072720
548,128,196,33,115,000006296,000072720
548,139,213,38,93,000006296,000072721
548,128,196,33,115,000006296,000072721
548,276,151,130,92,000005431,000072720
548,262,173,122,101,000005431,000072720
548,276,151,130,92,000005431,000072721
548,262,173,122,101,000005431,000072721
1075,1142,714,1244,469,000013687,000052059
1075,1111,737,1159,500,000013687,000052059
1075,1142,714,1244,469,000013687,000052060
1075,1111,737,1159,500,000013687,000052060
1075,1142,714,1244,469,000013687,000052061
1075,1111,737,1159,500,000013687,000052061
1075,390,218,66,122,000016571,000052059
1075,444,100,70,142,000016571,000052059
1075,390,218,66,122,000016571,000052060
1075,444,100,70,142,000016571,000052060
1075,390,218,66,122,000016571,000052061
1075,444,100,70,142,000016571,000052061
1590,6,848,201,611,000006781,000053199
1590,2,832,210,613,000006781,000053199
1590,6,848,201,611,000006781,000053200
1590,2,832,210,613,000006781,000053200
1590,6,848,201,611,000006781,000053201
1590,2,832,210,613,000006781,000053201
1590,6,848,201,611,000006781,000053202
1590,2,832,210,613,000006781,000053202
1590,471,378,239,352,000018658,000053199
1590,437,464,248,258,000018658,000053199
1590,471,378,239,352,000018658,000053200
1590,437,464,248,258,000018658,000053200
1590,471,378,239,352,000018658,000053201
1590,437,464,248,258,000018658,000053201
1590,471,378,239,352,000018658,000053202
1590,437,464,248,258,000018658,000053202
1590,554,257,456,151,000003147,000053199
1590,856,363,448,241,000003147,000053199
1590,860,249,456,221,000003147,000053199
1590,554,257,456,151,000003147,000053200
1590,856,363,448,241,000003147,000053200
1590,860,249,456,221,000003147,000053200
1590,554,257,456,151,000003147,000053201
1590,856,363,448,241,000003147,000053201
1590,860,249,456,221,000003147,000053201
1590,554,257,456,151,000003147,000053202
1590,856,363,448,241,000003147,000053202
1590,860,249,456,221,000003147,000053202
1590,188,175,66,149,000018538,000053199
1590,184,187,76,129,000018538,000053199
1590,188,175,66,149,000018538,000053200
1590,184,187,76,129,000018538,000053200
1590,188,175,66,149,000018538,000053201
1590,184,187,76,129,000018538,000053201
1590,188,175,66,149,000018538,000053202
1590,184,187,76,129,000018538,000053202
1590,755,590,50,380,000014533,000053199
1590,790,580,80,345,000014533,000053199
1590,755,590,50,380,000014533,000053200
1590,790,580,80,345,000014533,000053200
1590,755,590,50,380,000014533,000053201
1590,790,580,80,345,000014533,000053201
1590,755,590,50,380,000014533,000053202
1590,790,580,80,345,000014533,000053202
1590,360,109,24,75,000000649,000053199
1590,371,98,26,77,000000649,000053199
1590,360,109,24,75,000000649,000053200
1590,371,98,26,77,000000649,000053200
1590,360,109,24,75,000000649,000053201
1590,371,98,26,77,000000649,000053201
1590,360,109,24,75,000000649,000053202
1590,371,98,26,77,000000649,000053202
1590,553,323,54,309,000012554,000053199
1590,582,272,80,304,000012554,000053199
1590,553,323,54,309,000012554,000053200
1590,582,272,80,304,000012554,000053200
1590,553,323,54,309,000012554,000053201
1590,582,272,80,304,000012554,000053201
1590,553,323,54,309,000012554,000053202
1590,582,272,80,304,000012554,000053202
1134,1320,7,1993,60,000017101,000081821
1134,166,1120,1433,1054,000017101,000081821
1134,93,1314,66,614,000017101,000081821
1134,120,1207,1493,1127,000017101,000081821
1134,160,1127,33,754,000017101,000081821
1134,1320,7,1993,60,000017101,000081822
1134,166,1120,1433,1054,000017101,000081822
1134,93,1314,66,614,000017101,000081822
1134,120,1207,1493,1127,000017101,000081822
1134,160,1127,33,754,000017101,000081822
1134,1320,7,1993,60,000017101,000081823
1134,166,1120,1433,1054,000017101,000081823
1134,93,1314,66,614,000017101,000081823
1134,120,1207,1493,1127,000017101,000081823
1134,160,1127,33,754,000017101,000081823
1134,1320,7,1993,60,000017101,000081824
1134,166,1120,1433,1054,000017101,000081824
1134,93,1314,66,614,000017101,000081824
1134,120,1207,1493,1127,000017101,000081824
1134,160,1127,33,754,000017101,000081824
1134,106,169,4,104,000009156,000081821
1134,111,179,3,117,000009156,000081821
1134,106,169,4,104,000009156,000081822
1134,111,179,3,117,000009156,000081822
1134,106,169,4,104,000009156,000081823
1134,111,179,3,117,000009156,000081823
1134,106,169,4,104,000009156,000081824
1134,111,179,3,117,000009156,000081824
1134,268,293,151,205,000017287,000081821
1134,266,293,181,184,000017287,000081821
1134,268,293,151,205,000017287,000081822
1134,266,293,181,184,000017287,000081822
1134,268,293,151,205,000017287,000081823
1134,266,293,181,184,000017287,000081823
1134,268,293,151,205,000017287,000081824
1134,266,293,181,184,000017287,000081824
1134,385,222,222,355,000008595,000081821
1134,444,119,210,338,000008595,000081821
1134,385,222,222,355,000008595,000081822
1134,444,119,210,338,000008595,000081822
1134,385,222,222,355,000008595,000081823
1134,444,119,210,338,000008595,000081823
1134,385,222,222,355,000008595,000081824
1134,444,119,210,338,000008595,000081824
1650,25,743,199,514,000006972,000025604
1650,14,752,190,494,000006972,000025604
1650,25,743,199,514,000006972,000025605
1650,14,752,190,494,000006972,000025605
1650,241,459,211,139,000013747,000025604
1650,268,520,136,353,000013747,000025604
1650,241,459,211,139,000013747,000025605
1650,268,520,136,353,000013747,000025605
1650,141,350,15,242,000004500,000025604
1650,139,334,36,176,000004500,000025604
1650,141,350,15,242,000004500,000025605
1650,139,334,36,176,000004500,000025605
1650,429,1159,62,833,000018721,000025604
1650,512,926,67,880,000018721,000025604
1650,429,1159,62,833,000018721,000025605
1650,512,926,67,880,000018721,000025605
1650,963,981,654,776,000012016,000025604
1650,1018,843,698,589,000012016,000025604
1650,963,981,654,776,000012016,000025605
1650,1018,843,698,589,000012016,000025605
670,486,808,44,732,000330118,000100167
670,486,808,44,732,000330118,000100169
205,212,112,0,112,000008788,000038455
205,207,120,0,80,000008788,000038455
205,212,112,0,112,000008788,000038456
205,207,120,0,80,000008788,000038456
205,350,116,182,71,000006861,000038455
205,338,154,192,93,000006861,000038455
205,350,116,182,71,000006861,000038456
205,338,154,192,93,000006861,000038456
1766,785,475,55,330,000003736,000061326
1766,775,485,35,365,000003736,000061326
1766,785,475,55,330,000003736,000061327
1766,775,485,35,365,000003736,000061327
