id,left,width,top,height,cons_path,shop_path
2058,1247,234,1859,554,000015955,000083760
2058,932,245,1888,537,000015955,000083760
2058,1247,234,1859,554,000015955,000083761
2058,932,245,1888,537,000015955,000083761
2058,1247,234,1859,554,000015955,000083762
2058,932,245,1888,537,000015955,000083762
2058,236,59,418,215,000009806,000083760
2058,117,93,420,201,000009806,000083760
2058,236,59,418,215,000009806,000083761
2058,117,93,420,201,000009806,000083761
2058,236,59,418,215,000009806,000083762
2058,117,93,420,201,000009806,000083762
2058,178,184,816,140,000008509,000083760
2058,178,184,816,140,000008509,000083761
2058,178,184,816,140,000008509,000083762
2058,224,54,385,200,000009021,000083760
2058,174,50,390,82,000009021,000083760
2058,224,54,385,200,000009021,000083761
2058,174,50,390,82,000009021,000083761
2058,224,54,385,200,000009021,000083762
2058,174,50,390,82,000009021,000083762
2058,172,95,463,117,000009714,000083760
2058,172,95,463,117,000009714,000083761
2058,172,95,463,117,000009714,000083762
3084,886,564,2580,1170,000012840,000087110
3084,886,564,2580,1170,000012840,000087111
3084,886,564,2580,1170,000012840,000087112
3084,594,206,318,600,000015532,000087110
3084,594,206,318,600,000015532,000087111
3084,594,206,318,600,000015532,000087112
2063,730,244,2038,623,000010865,000040087
2063,1003,171,2048,672,000010865,000040087
2063,730,244,2038,623,000010865,000040088
2063,1003,171,2048,672,000010865,000040088
2063,91,120,475,166,000011986,000040087
2063,91,120,475,166,000011986,000040088
4123,260,368,939,261,000008720,000027566
4123,928,236,942,229,000008720,000027566
4123,260,368,939,261,000008720,000027567
4123,928,236,942,229,000008720,000027567
4123,260,368,939,261,000008720,000027568
4123,928,236,942,229,000008720,000027568
4123,278,680,1872,853,000009839,000027566
4123,278,680,1872,853,000009839,000027567
4123,278,680,1872,853,000009839,000027568
4123,188,232,760,352,000003466,000027566
4123,768,258,11,432,000003466,000027566
4123,188,232,760,352,000003466,000027567
4123,768,258,11,432,000003466,000027567
4123,188,232,760,352,000003466,000027568
4123,768,258,11,432,000003466,000027568
2095,191,219,683,357,000011739,000033740
2095,191,219,683,357,000011739,000033741
1585,147,140,283,292,000363613,000020592
1585,147,140,283,292,000363613,000020593
3127,174,189,481,149,000001916,000032184
568,703,108,1916,147,000018259,000048863
568,936,143,2002,104,000018259,000048863
568,208,83,540,154,000003356,000048863
568,296,89,547,156,000003356,000048863
568,433,365,1976,659,000008941,000048863
568,777,394,2035,610,000008941,000048863
568,1871,375,1780,797,000008941,000048863
568,132,65,434,170,000015305,000048863
568,188,71,436,159,000015305,000048863
568,876,192,1403,392,000013897,000048863
568,1119,167,1437,383,000013897,000048863
568,1346,478,2846,424,000009911,000048863
568,545,1340,1800,1040,000005400,000048863
568,178,130,561,50,000014726,000048863
568,196,129,550,75,000007650,000048863
568,310,168,1130,405,000016293,000048863
568,161,217,581,324,000017694,000048863
568,103,261,633,120,000015619,000048863
4160,541,491,863,853,000330429,000038586
4160,541,491,863,853,000330429,000038587
4160,731,417,1780,531,000008246,000038586
4160,731,417,1780,531,000008246,000038587
4160,183,135,386,244,000009600,000038586
4160,183,135,386,244,000009600,000038587
2115,317,282,359,241,000005471,000020815
2115,65,97,343,190,000005471,000020815
2115,380,159,247,57,000005471,000020815
2115,317,282,359,241,000005471,000020816
2115,65,97,343,190,000005471,000020816
2115,380,159,247,57,000005471,000020816
