id,left,width,top,height,cons_path,shop_path
6154,823,372,1152,539,000013979,000055182
6154,823,372,1152,539,000013979,000055183
6154,823,372,1152,539,000013979,000055184
6154,234,1452,891,1778,000002031,000055182
6154,234,1452,891,1778,000002031,000055183
6154,234,1452,891,1778,000002031,000055184
6154,139,1399,1010,1337,000017880,000055182
6154,139,1399,1010,1337,000017880,000055183
6154,139,1399,1010,1337,000017880,000055184
6154,739,804,339,1074,000005341,000055182
6154,739,804,339,1074,000005341,000055183
6154,739,804,339,1074,000005341,000055184
6180,708,1673,559,1425,000330458,000022908
6180,708,1673,559,1425,000330458,000022909
6180,708,1673,559,1425,000330458,000022910
6180,708,1673,559,1425,000330458,000022911
6180,708,1673,559,1425,000330458,000022912
6180,111,842,382,740,000001182,000022908
6180,111,842,382,740,000001182,000022909
6180,111,842,382,740,000001182,000022910
6180,111,842,382,740,000001182,000022911
6180,111,842,382,740,000001182,000022912
6180,129,183,133,225,000008423,000022908
6180,129,183,133,225,000008423,000022909
6180,129,183,133,225,000008423,000022910
6180,129,183,133,225,000008423,000022911
6180,129,183,133,225,000008423,000022912
16436,26,426,279,376,000014104,000025189
16436,26,426,279,376,000014104,000025190
16436,26,426,279,376,000014104,000025191
16436,26,426,279,376,000014104,000025192
4210,544,937,555,981,000000408,000054913
4210,544,937,555,981,000000408,000054914
4210,544,937,555,981,000000408,000054915
4210,1367,447,1135,1425,000005159,000054913
4210,625,248,1252,1218,000005159,000054913
4210,1367,447,1135,1425,000005159,000054914
4210,625,248,1252,1218,000005159,000054914
4210,1367,447,1135,1425,000005159,000054915
4210,625,248,1252,1218,000005159,000054915
12415,516,358,197,253,000011436,000033961
12415,516,358,197,253,000011436,000033962
12415,516,358,197,253,000011436,000033963
12415,516,358,197,253,000011436,000033964
12415,184,324,174,444,000008897,000033961
12415,184,324,174,444,000008897,000033962
12415,184,324,174,444,000008897,000033963
12415,184,324,174,444,000008897,000033964
4260,117,177,210,263,000013810,000041834
4260,117,177,210,263,000013810,000041835
4260,117,177,210,263,000013810,000041836
