id,left,width,top,height,cons_path,shop_path
520,121,230,246,359,000007682,000021815
520,121,230,246,359,000007682,000021817
520,121,230,246,359,000007682,000021819
520,121,230,246,359,000007682,000021820
3595,837,505,680,1014,000015116,000018976
3595,837,505,680,1014,000015116,000018977
3595,837,505,680,1014,000015116,000018978
3595,837,505,680,1014,000015116,000018979
3595,1812,432,2214,473,000017862,000018976
3595,1142,647,2535,292,000017862,000018976
3595,1812,432,2214,473,000017862,000018977
3595,1142,647,2535,292,000017862,000018977
3595,1812,432,2214,473,000017862,000018978
3595,1142,647,2535,292,000017862,000018978
3595,1812,432,2214,473,000017862,000018979
3595,1142,647,2535,292,000017862,000018979
3595,252,255,651,309,000001859,000018976
3595,252,255,651,309,000001859,000018977
3595,252,255,651,309,000001859,000018978
3595,252,255,651,309,000001859,000018979
3595,300,378,561,576,000011279,000018976
3595,300,378,561,576,000011279,000018977
3595,300,378,561,576,000011279,000018978
3595,300,378,561,576,000011279,000018979
3595,370,895,1360,1305,000014488,000018976
3595,370,895,1360,1305,000014488,000018977
3595,370,895,1360,1305,000014488,000018978
3595,370,895,1360,1305,000014488,000018979
3595,530,716,1397,962,000008408,000018976
3595,530,716,1397,962,000008408,000018977
3595,530,716,1397,962,000008408,000018978
3595,530,716,1397,962,000008408,000018979
3595,114,215,589,410,000018229,000018976
3595,114,215,589,410,000018229,000018977
3595,114,215,589,410,000018229,000018978
3595,114,215,589,410,000018229,000018979
3595,72,264,569,432,000015067,000018976
3595,72,264,569,432,000015067,000018977
3595,72,264,569,432,000015067,000018978
3595,72,264,569,432,000015067,000018979
2653,263,517,887,966,000330506,000018900
2653,1180,620,906,942,000330506,000018900
2653,263,517,887,966,000330506,000018901
2653,1180,620,906,942,000330506,000018901
2653,263,517,887,966,000330506,000018902
2653,1180,620,906,942,000330506,000018902
2653,263,517,887,966,000330506,000018903
2653,1180,620,906,942,000330506,000018903
2653,384,204,464,568,000008299,000018900
2653,384,204,464,568,000008299,000018901
2653,384,204,464,568,000008299,000018902
2653,384,204,464,568,000008299,000018903
2653,497,483,917,1131,000004739,000018900
2653,497,483,917,1131,000004739,000018901
2653,497,483,917,1131,000004739,000018902
2653,497,483,917,1131,000004739,000018903
2653,608,680,1550,1235,000004367,000018900
2653,608,680,1550,1235,000004367,000018901
2653,608,680,1550,1235,000004367,000018902
2653,608,680,1550,1235,000004367,000018903
2653,124,727,936,1718,000018804,000018900
2653,124,727,936,1718,000018804,000018901
2653,124,727,936,1718,000018804,000018902
2653,124,727,936,1718,000018804,000018903
2653,570,450,954,933,000011888,000018900
2653,570,450,954,933,000011888,000018901
2653,570,450,954,933,000011888,000018902
2653,570,450,954,933,000011888,000018903
163,431,324,709,633,000012757,000041338
163,440,307,721,595,000012757,000041338
163,431,324,709,633,000012757,000041339
163,440,307,721,595,000012757,000041339
163,431,324,709,633,000012757,000041340
163,440,307,721,595,000012757,000041340
163,431,324,709,633,000012757,000041341
163,440,307,721,595,000012757,000041341
163,431,324,709,633,000012757,000041342
163,440,307,721,595,000012757,000041342
4788,24,148,278,346,000007367,000019054
4788,245,154,260,359,000007367,000019054
4788,24,148,278,346,000007367,000019055
4788,245,154,260,359,000007367,000019055
4788,24,148,278,346,000007367,000019056
4788,245,154,260,359,000007367,000019056
4788,24,148,278,346,000007367,000019057
4788,245,154,260,359,000007367,000019057
4788,24,148,278,346,000007367,000097221
4788,245,154,260,359,000007367,000097221
4788,245,156,449,335,000018145,000019054
4788,245,156,449,335,000018145,000019055
4788,245,156,449,335,000018145,000019056
4788,245,156,449,335,000018145,000019057
4788,245,156,449,335,000018145,000097221
4788,654,907,1864,1102,000000495,000019054
4788,654,907,1864,1102,000000495,000019055
4788,654,907,1864,1102,000000495,000019056
4788,654,907,1864,1102,000000495,000019057
4788,654,907,1864,1102,000000495,000097221
4788,686,647,1810,1830,000005286,000019054
4788,686,647,1810,1830,000005286,000019055
4788,686,647,1810,1830,000005286,000019056
4788,686,647,1810,1830,000005286,000019057
4788,686,647,1810,1830,000005286,000097221
4788,240,165,514,364,000010563,000019054
4788,240,165,514,364,000010563,000019055
4788,240,165,514,364,000010563,000019056
4788,240,165,514,364,000010563,000019057
4788,240,165,514,364,000010563,000097221
4788,170,260,304,308,000004664,000019054
4788,170,260,304,308,000004664,000019055
4788,170,260,304,308,000004664,000019056
4788,170,260,304,308,000004664,000019057
4788,170,260,304,308,000004664,000097221
4788,360,282,543,585,000012825,000019054
4788,360,282,543,585,000012825,000019055
4788,360,282,543,585,000012825,000019056
4788,360,282,543,585,000012825,000019057
4788,360,282,543,585,000012825,000097221
4788,306,170,300,226,000018660,000019054
4788,306,170,300,226,000018660,000019055
4788,306,170,300,226,000018660,000019056
4788,306,170,300,226,000018660,000019057
4788,306,170,300,226,000018660,000097221
4788,311,489,709,647,000015425,000019054
4788,311,489,709,647,000015425,000019055
4788,311,489,709,647,000015425,000019056
4788,311,489,709,647,000015425,000019057
4788,311,489,709,647,000015425,000097221
4788,171,484,608,356,000008139,000019054
4788,171,484,608,356,000008139,000019055
4788,171,484,608,356,000008139,000019056
4788,171,484,608,356,000008139,000019057
4788,171,484,608,356,000008139,000097221
4788,400,421,440,1181,000006050,000019054
4788,400,421,440,1181,000006050,000019055
4788,400,421,440,1181,000006050,000019056
4788,400,421,440,1181,000006050,000019057
4788,400,421,440,1181,000006050,000097221
