id,left,width,top,height,cons_path,shop_path
8270,170,259,319,245,000009083,000029140
8270,200,200,337,233,000009083,000029140
8270,170,259,319,245,000009083,000029142
8270,200,200,337,233,000009083,000029142
8270,170,259,319,245,000009083,000029145
8270,200,200,337,233,000009083,000029145
8270,170,259,319,245,000009083,000029147
8270,200,200,337,233,000009083,000029147
8270,148,1757,1127,1179,000007547,000029140
8270,96,1785,1053,1190,000007547,000029140
8270,148,1757,1127,1179,000007547,000029142
8270,96,1785,1053,1190,000007547,000029142
8270,148,1757,1127,1179,000007547,000029145
8270,96,1785,1053,1190,000007547,000029145
8270,148,1757,1127,1179,000007547,000029147
8270,96,1785,1053,1190,000007547,000029147
8270,746,630,1544,770,000009683,000029140
8270,734,653,1532,846,000009683,000029140
8270,746,630,1544,770,000009683,000029142
8270,734,653,1532,846,000009683,000029142
8270,746,630,1544,770,000009683,000029145
8270,734,653,1532,846,000009683,000029145
8270,746,630,1544,770,000009683,000029147
8270,734,653,1532,846,000009683,000029147
8270,66,239,418,239,000007211,000029140
8270,101,192,430,225,000007211,000029140
8270,66,239,418,239,000007211,000029142
8270,101,192,430,225,000007211,000029142
8270,66,239,418,239,000007211,000029145
8270,101,192,430,225,000007211,000029145
8270,66,239,418,239,000007211,000029147
8270,101,192,430,225,000007211,000029147
8270,914,413,886,519,000002158,000029140
8270,875,469,836,647,000002158,000029140
8270,914,413,886,519,000002158,000029142
8270,875,469,836,647,000002158,000029142
8270,914,413,886,519,000002158,000029145
8270,875,469,836,647,000002158,000029145
8270,914,413,886,519,000002158,000029147
8270,875,469,836,647,000002158,000029147
8270,33,217,447,129,000015156,000029140
8270,43,209,372,206,000015156,000029140
8270,33,217,447,129,000015156,000029142
8270,43,209,372,206,000015156,000029142
8270,33,217,447,129,000015156,000029145
8270,43,209,372,206,000015156,000029145
8270,33,217,447,129,000015156,000029147
8270,43,209,372,206,000015156,000029147
8270,223,93,409,105,000329988,000029140
8270,210,109,404,110,000329988,000029140
8270,223,93,409,105,000329988,000029142
8270,210,109,404,110,000329988,000029142
8270,223,93,409,105,000329988,000029145
8270,210,109,404,110,000329988,000029145
8270,223,93,409,105,000329988,000029147
8270,210,109,404,110,000329988,000029147
8270,94,610,796,404,000010201,000029140
8270,78,644,830,370,000010201,000029140
8270,94,610,796,404,000010201,000029142
8270,78,644,830,370,000010201,000029142
8270,94,610,796,404,000010201,000029145
8270,78,644,830,370,000010201,000029145
8270,94,610,796,404,000010201,000029147
8270,78,644,830,370,000010201,000029147
8270,266,1038,1014,1172,000007141,000029140
8270,279,1038,1116,1028,000007141,000029140
8270,266,1038,1014,1172,000007141,000029142
8270,279,1038,1116,1028,000007141,000029142
8270,266,1038,1014,1172,000007141,000029145
8270,279,1038,1116,1028,000007141,000029145
8270,266,1038,1014,1172,000007141,000029147
8270,279,1038,1116,1028,000007141,000029147
8270,521,613,1110,549,000007623,000029140
8270,425,746,1142,508,000007623,000029140
8270,521,613,1110,549,000007623,000029142
8270,425,746,1142,508,000007623,000029142
8270,521,613,1110,549,000007623,000029145
8270,425,746,1142,508,000007623,000029145
8270,521,613,1110,549,000007623,000029147
8270,425,746,1142,508,000007623,000029147
8270,313,756,1072,783,000004582,000029140
8270,493,531,1086,769,000004582,000029140
8270,313,756,1072,783,000004582,000029142
8270,493,531,1086,769,000004582,000029142
8270,313,756,1072,783,000004582,000029145
8270,493,531,1086,769,000004582,000029145
8270,313,756,1072,783,000004582,000029147
8270,493,531,1086,769,000004582,000029147
8270,370,638,1203,237,000014140,000029140
8270,401,583,1217,223,000014140,000029140
8270,370,638,1203,237,000014140,000029142
8270,401,583,1217,223,000014140,000029142
8270,370,638,1203,237,000014140,000029145
8270,401,583,1217,223,000014140,000029145
8270,370,638,1203,237,000014140,000029147
8270,401,583,1217,223,000014140,000029147
8270,243,141,171,116,000002842,000029140
8270,249,148,171,113,000002842,000029140
8270,243,141,171,116,000002842,000029142
8270,249,148,171,113,000002842,000029142
8270,243,141,171,116,000002842,000029145
8270,249,148,171,113,000002842,000029145
8270,243,141,171,116,000002842,000029147
8270,249,148,171,113,000002842,000029147
8270,950,764,1224,700,000004801,000029140
8270,1078,578,1358,566,000004801,000029140
8270,950,764,1224,700,000004801,000029142
8270,1078,578,1358,566,000004801,000029142
8270,950,764,1224,700,000004801,000029145
8270,1078,578,1358,566,000004801,000029145
8270,950,764,1224,700,000004801,000029147
8270,1078,578,1358,566,000004801,000029147
8270,757,776,1346,787,000000172,000029140
8270,728,764,1323,1044,000000172,000029140
8270,757,776,1346,787,000000172,000029142
8270,728,764,1323,1044,000000172,000029142
8270,757,776,1346,787,000000172,000029145
8270,728,764,1323,1044,000000172,000029145
8270,757,776,1346,787,000000172,000029147
8270,728,764,1323,1044,000000172,000029147
8270,44,162,182,143,000363695,000029140
8270,52,144,188,133,000363695,000029140
8270,44,162,182,143,000363695,000029142
8270,52,144,188,133,000363695,000029142
8270,44,162,182,143,000363695,000029145
8270,52,144,188,133,000363695,000029145
8270,44,162,182,143,000363695,000029147
8270,52,144,188,133,000363695,000029147
8270,281,119,425,141,000008905,000029140
8270,284,127,417,153,000008905,000029140
8270,281,119,425,141,000008905,000029142
8270,284,127,417,153,000008905,000029142
8270,281,119,425,141,000008905,000029145
8270,284,127,417,153,000008905,000029145
8270,281,119,425,141,000008905,000029147
8270,284,127,417,153,000008905,000029147
8270,190,236,356,264,000011163,000029140
8270,169,283,338,271,000011163,000029140
8270,190,236,356,264,000011163,000029142
8270,169,283,338,271,000011163,000029142
8270,190,236,356,264,000011163,000029145
8270,169,283,338,271,000011163,000029145
8270,190,236,356,264,000011163,000029147
8270,169,283,338,271,000011163,000029147
8270,99,303,447,267,000005021,000029140
8270,117,257,437,302,000005021,000029140
8270,99,303,447,267,000005021,000029142
8270,117,257,437,302,000005021,000029142
8270,99,303,447,267,000005021,000029145
8270,117,257,437,302,000005021,000029145
