id,left,width,top,height,cons_path,shop_path
2,1266,324,733,167,000011924.jpg,000082783.jpg
2,1266,324,733,167,000011924.jpg,000082784.jpg
2,229,55,277,32,000007876.jpg,000082783.jpg
2,229,55,277,32,000007876.jpg,000082784.jpg
2,1362,460,2415,135,000018706.jpg,000082783.jpg
2,1362,460,2415,135,000018706.jpg,000082784.jpg
2,380,168,552,24,000011856.jpg,000082783.jpg
2,380,168,552,24,000011856.jpg,000082784.jpg
898,263,157,269,63,000003381.jpg,000097544.jpg
898,263,157,269,63,000003381.jpg,000097545.jpg
386,248,68,227,41,000013916.jpg,000048825.jpg
386,248,68,227,41,000013916.jpg,000048826.jpg
386,248,68,227,41,000013916.jpg,000048827.jpg
518,401,426,1317,152,000017065.jpg,000029229.jpg
518,401,426,1317,152,000017065.jpg,000029232.jpg
518,80,217,464,83,000013181.jpg,000029229.jpg
518,80,217,464,83,000013181.jpg,000029232.jpg
518,225,228,490,113,000003561.jpg,000029229.jpg
518,225,228,490,113,000003561.jpg,000029232.jpg
518,168,269,598,71,000013950.jpg,000029229.jpg
518,168,269,598,71,000013950.jpg,000029232.jpg
518,1362,381,1956,191,000012830.jpg,000029229.jpg
518,1362,381,1956,191,000012830.jpg,000029232.jpg
139,182,108,212,74,000003970.jpg,000075393.jpg
139,182,108,212,74,000003970.jpg,000075394.jpg
139,182,108,212,74,000003970.jpg,000075395.jpg
139,172,69,228,20,000006697.jpg,000075393.jpg
139,172,69,228,20,000006697.jpg,000075394.jpg
139,172,69,228,20,000006697.jpg,000075395.jpg
139,21,100,156,23,000008417.jpg,000075393.jpg
139,351,91,164,18,000008417.jpg,000075393.jpg
139,210,75,168,19,000008417.jpg,000075393.jpg
139,21,100,156,23,000008417.jpg,000075394.jpg
139,351,91,164,18,000008417.jpg,000075394.jpg
139,210,75,168,19,000008417.jpg,000075394.jpg
139,21,100,156,23,000008417.jpg,000075395.jpg
139,351,91,164,18,000008417.jpg,000075395.jpg
139,210,75,168,19,000008417.jpg,000075395.jpg
139,88,100,210,21,000010209.jpg,000075393.jpg
139,88,100,210,21,000010209.jpg,000075394.jpg
139,88,100,210,21,000010209.jpg,000075395.jpg
139,192,97,256,39,000010906.jpg,000075393.jpg
139,192,97,256,39,000010906.jpg,000075394.jpg
139,192,97,256,39,000010906.jpg,000075395.jpg
147,800,355,995,110,000014532.jpg,000050836.jpg
147,800,355,995,110,000014532.jpg,000050837.jpg
147,800,355,995,110,000014532.jpg,000050838.jpg
275,735,633,1630,179,000011203.jpg,000084372.jpg
275,735,633,1630,179,000011203.jpg,000084373.jpg
275,793,116,1178,41,000010267.jpg,000084372.jpg
275,793,116,1178,41,000010267.jpg,000084373.jpg
275,1428,326,1164,88,000013836.jpg,000084372.jpg
275,1428,326,1164,88,000013836.jpg,000084373.jpg
275,1130,426,821,164,000013532.jpg,000084372.jpg
275,1130,426,821,164,000013532.jpg,000084373.jpg
275,52,314,237,109,000014235.jpg,000084372.jpg
275,52,314,237,109,000014235.jpg,000084373.jpg
789,216,87,215,18,000006011.jpg,000077676.jpg
789,216,87,215,18,000006011.jpg,000077677.jpg
789,216,87,215,18,000006011.jpg,000077678.jpg
789,216,87,215,18,000006011.jpg,000077679.jpg
