id,cons_path,shop_path
40960,000000012.jpg,000060952.jpg
40960,000000012.jpg,000060955.jpg
40960,000000012.jpg,000060958.jpg
40960,000000012.jpg,000060960.jpg
40960,000000012.jpg,000060952.jpg
40960,000000012.jpg,000060955.jpg
40960,000000012.jpg,000060958.jpg
40960,000000012.jpg,000060960.jpg
40960,000007168.jpg,000060952.jpg
40960,000007168.jpg,000060955.jpg
40960,000007168.jpg,000060958.jpg
40960,000007168.jpg,000060960.jpg
40960,000016732.jpg,000060952.jpg
40960,000016732.jpg,000060955.jpg
40960,000016732.jpg,000060958.jpg
40960,000016732.jpg,000060960.jpg
40960,000013695.jpg,000060952.jpg
40960,000013695.jpg,000060955.jpg
40960,000013695.jpg,000060958.jpg
40960,000013695.jpg,000060960.jpg
40960,000016114.jpg,000060952.jpg
40960,000016114.jpg,000060955.jpg
40960,000016114.jpg,000060958.jpg
40960,000016114.jpg,000060960.jpg
40960,000010119.jpg,000060952.jpg
40960,000010119.jpg,000060955.jpg
40960,000010119.jpg,000060958.jpg
40960,000010119.jpg,000060960.jpg
40960,000010119.jpg,000060952.jpg
40960,000010119.jpg,000060955.jpg
40960,000010119.jpg,000060958.jpg
40960,000010119.jpg,000060960.jpg
40960,000000012.jpg,000060952.jpg
40960,000000012.jpg,000060955.jpg
40960,000000012.jpg,000060958.jpg
40960,000000012.jpg,000060960.jpg
40960,000016732.jpg,000060952.jpg
40960,000016732.jpg,000060955.jpg
40960,000016732.jpg,000060958.jpg
40960,000016732.jpg,000060960.jpg
32770,000363629.jpg,000045310.jpg
32770,000363629.jpg,000045311.jpg
32770,000363629.jpg,000045312.jpg
32770,000363629.jpg,000045313.jpg
32770,000363629.jpg,000045314.jpg
32770,000363629.jpg,000045315.jpg
49157,000008850.jpg,000082265.jpg
49157,000008850.jpg,000082266.jpg
49157,000008850.jpg,000082267.jpg
49157,000008850.jpg,000082268.jpg
49157,000008850.jpg,000082269.jpg
49162,000018489.jpg,000085537.jpg
49162,000018489.jpg,000085538.jpg
49162,000018489.jpg,000085539.jpg
49162,000018489.jpg,000085540.jpg
49162,000010754.jpg,000085537.jpg
49162,000010754.jpg,000085538.jpg
49162,000010754.jpg,000085539.jpg
49162,000010754.jpg,000085540.jpg
49162,000014839.jpg,000085537.jpg
49162,000014839.jpg,000085538.jpg
49162,000014839.jpg,000085539.jpg
49162,000014839.jpg,000085540.jpg
40974,000004248.jpg,000076006.jpg
40974,000004248.jpg,000076007.jpg
40974,000004248.jpg,000076008.jpg
40974,000004248.jpg,000076009.jpg
40974,000004248.jpg,000076006.jpg
40974,000004248.jpg,000076007.jpg
40974,000004248.jpg,000076008.jpg
40974,000004248.jpg,000076009.jpg
24598,000014037.jpg,000053171.jpg
24598,000014037.jpg,000053172.jpg
24598,000014037.jpg,000053173.jpg
24598,000014037.jpg,000053174.jpg
24598,000014037.jpg,000053175.jpg
49178,000009333.jpg,000084494.jpg
49178,000009333.jpg,000084495.jpg
49178,000009333.jpg,000084496.jpg
49178,000009333.jpg,000084497.jpg
65565,000006873.jpg,000033555.jpg
65565,000006873.jpg,000033558.jpg
65565,000006873.jpg,000033560.jpg
65565,000006873.jpg,000033561.jpg
65565,000006873.jpg,000097833.jpg
65565,000015671.jpg,000033555.jpg
