id,left,width,top,height,cons_path,shop_path
898,246,65,292,63,000014429.jpg,000021000.jpg
898,246,65,292,63,000014429.jpg,000021002.jpg
898,246,65,292,63,000014429.jpg,000021004.jpg
898,246,65,292,63,000014429.jpg,000021005.jpg
898,246,65,292,63,000014429.jpg,000021006.jpg
898,102,66,53,36,000002834.jpg,000021000.jpg
898,102,66,53,36,000002834.jpg,000021002.jpg
898,102,66,53,36,000002834.jpg,000021004.jpg
898,102,66,53,36,000002834.jpg,000021005.jpg
898,102,66,53,36,000002834.jpg,000021006.jpg
898,835,275,740,170,000009236.jpg,000021000.jpg
898,835,275,740,170,000009236.jpg,000021002.jpg
898,835,275,740,170,000009236.jpg,000021004.jpg
898,835,275,740,170,000009236.jpg,000021005.jpg
898,835,275,740,170,000009236.jpg,000021006.jpg
898,845,230,340,85,000011565.jpg,000021000.jpg
898,845,230,340,85,000011565.jpg,000021002.jpg
898,845,230,340,85,000011565.jpg,000021004.jpg
898,845,230,340,85,000011565.jpg,000021005.jpg
898,845,230,340,85,000011565.jpg,000021006.jpg
898,810,200,730,65,000010585.jpg,000021000.jpg
898,810,200,730,65,000010585.jpg,000021002.jpg
898,810,200,730,65,000010585.jpg,000021004.jpg
898,810,200,730,65,000010585.jpg,000021005.jpg
898,810,200,730,65,000010585.jpg,000021006.jpg
898,1200,260,375,100,000010786.jpg,000021000.jpg
898,1200,260,375,100,000010786.jpg,000021002.jpg
898,1200,260,375,100,000010786.jpg,000021004.jpg
898,1200,260,375,100,000010786.jpg,000021005.jpg
898,1200,260,375,100,000010786.jpg,000021006.jpg
655,330,104,162,48,000009483.jpg,000083736.jpg
655,330,104,162,48,000009483.jpg,000083737.jpg
655,330,104,162,48,000009483.jpg,000083738.jpg
1173,260,103,126,44,000000879.jpg,000055253.jpg
1173,260,103,126,44,000000879.jpg,000055254.jpg
1173,260,103,126,44,000000879.jpg,000055255.jpg
1173,260,103,126,44,000000879.jpg,000055256.jpg
1173,260,103,126,44,000000879.jpg,000055257.jpg
1173,92,98,114,52,000008624.jpg,000055253.jpg
1173,92,98,114,52,000008624.jpg,000055254.jpg
1173,92,98,114,52,000008624.jpg,000055255.jpg
1173,92,98,114,52,000008624.jpg,000055256.jpg
