id,left,width,top,height,cons_path,shop_path
40971,682,62,1124,64,000005202.jpg,000025291.jpg
40971,369,64,1126,67,000005202.jpg,000025291.jpg
40971,682,62,1124,64,000005202.jpg,000025292.jpg
40971,369,64,1126,67,000005202.jpg,000025292.jpg
40971,682,62,1124,64,000005202.jpg,000025293.jpg
40971,369,64,1126,67,000005202.jpg,000025293.jpg
40971,682,62,1124,64,000005202.jpg,000025294.jpg
40971,369,64,1126,67,000005202.jpg,000025294.jpg
40971,682,62,1124,64,000005202.jpg,000025295.jpg
40971,369,64,1126,67,000005202.jpg,000025295.jpg
40971,682,62,1124,64,000005202.jpg,000025296.jpg
40971,369,64,1126,67,000005202.jpg,000025296.jpg
32788,270,27,1202,19,000007350.jpg,000079946.jpg
32788,270,27,1202,19,000007350.jpg,000079947.jpg
32788,270,27,1202,19,000007350.jpg,000079948.jpg
32788,270,27,1202,19,000007350.jpg,000079949.jpg
32788,228,335,1073,163,000018454.jpg,000079946.jpg
32788,228,335,1073,163,000018454.jpg,000079947.jpg
32788,228,335,1073,163,000018454.jpg,000079948.jpg
32788,228,335,1073,163,000018454.jpg,000079949.jpg
16407,510,79,1125,150,000012571.jpg,000087059.jpg
16407,593,118,1062,224,000012571.jpg,000087059.jpg
16407,510,79,1125,150,000012571.jpg,000087060.jpg
16407,593,118,1062,224,000012571.jpg,000087060.jpg
16407,510,79,1125,150,000012571.jpg,000087061.jpg
16407,593,118,1062,224,000012571.jpg,000087061.jpg
16407,510,79,1125,150,000012571.jpg,000087062.jpg
16407,593,118,1062,224,000012571.jpg,000087062.jpg
16407,510,79,1125,150,000012571.jpg,000087063.jpg
16407,593,118,1062,224,000012571.jpg,000087063.jpg
16407,510,79,1125,150,000012571.jpg,000087064.jpg
16407,593,118,1062,224,000012571.jpg,000087064.jpg
24605,997,285,3026,78,000007425.jpg,000023747.jpg
24605,816,342,2741,197,000007425.jpg,000023747.jpg
24605,997,285,3026,78,000007425.jpg,000023748.jpg
24605,816,342,2741,197,000007425.jpg,000023748.jpg
24605,997,285,3026,78,000007425.jpg,000023749.jpg
24605,816,342,2741,197,000007425.jpg,000023749.jpg
24605,997,285,3026,78,000007425.jpg,000023750.jpg
24605,816,342,2741,197,000007425.jpg,000023750.jpg
24605,881,123,1682,201,000007609.jpg,000023747.jpg
24605,994,31,1573,245,000007609.jpg,000023747.jpg
24605,881,123,1682,201,000007609.jpg,000023748.jpg
24605,994,31,1573,245,000007609.jpg,000023748.jpg
24605,881,123,1682,201,000007609.jpg,000023749.jpg
24605,994,31,1573,245,000007609.jpg,000023749.jpg
24605,881,123,1682,201,000007609.jpg,000023750.jpg
24605,994,31,1573,245,000007609.jpg,000023750.jpg
24605,322,95,876,81,000002708.jpg,000023747.jpg
24605,430,105,898,60,000002708.jpg,000023747.jpg
24605,322,95,876,81,000002708.jpg,000023748.jpg
24605,430,105,898,60,000002708.jpg,000023748.jpg
24605,322,95,876,81,000002708.jpg,000023749.jpg
24605,430,105,898,60,000002708.jpg,000023749.jpg
24605,322,95,876,81,000002708.jpg,000023750.jpg
24605,430,105,898,60,000002708.jpg,000023750.jpg
24605,236,44,555,79,000000135.jpg,000023747.jpg
24605,179,44,550,79,000000135.jpg,000023747.jpg
24605,207,2,0,2,000000135.jpg,000023747.jpg
24605,236,44,555,79,000000135.jpg,000023748.jpg
24605,179,44,550,79,000000135.jpg,000023748.jpg
24605,207,2,0,2,000000135.jpg,000023748.jpg
24605,236,44,555,79,000000135.jpg,000023749.jpg
24605,179,44,550,79,000000135.jpg,000023749.jpg
24605,207,2,0,2,000000135.jpg,000023749.jpg
24605,236,44,555,79,000000135.jpg,000023750.jpg
24605,179,44,550,79,000000135.jpg,000023750.jpg
24605,207,2,0,2,000000135.jpg,000023750.jpg
24605,897,193,2617,304,000003793.jpg,000023747.jpg
24605,897,193,2617,304,000003793.jpg,000023748.jpg
24605,897,193,2617,304,000003793.jpg,000023749.jpg
24605,897,193,2617,304,000003793.jpg,000023750.jpg
40990,303,85,819,169,000330034.jpg,000090023.jpg
40990,185,99,798,197,000330034.jpg,000090023.jpg
40990,303,85,819,169,000330034.jpg,000090024.jpg
40990,185,99,798,197,000330034.jpg,000090024.jpg
40990,303,85,819,169,000330034.jpg,000090025.jpg
40990,185,99,798,197,000330034.jpg,000090025.jpg
40990,1379,436,3368,308,000016629.jpg,000090023.jpg
40990,1379,326,3306,253,000016629.jpg,000090023.jpg
40990,1379,436,3368,308,000016629.jpg,000090024.jpg
40990,1379,326,3306,253,000016629.jpg,000090024.jpg
40990,1379,436,3368,308,000016629.jpg,000090025.jpg
40990,1379,326,3306,253,000016629.jpg,000090025.jpg
40997,1092,192,1573,186,000008087.jpg,000037976.jpg
40997,1333,186,1573,167,000008087.jpg,000037976.jpg
40997,1092,192,1573,186,000008087.jpg,000037978.jpg
40997,1333,186,1573,167,000008087.jpg,000037978.jpg
40997,1092,192,1573,186,000008087.jpg,000037980.jpg
40997,1333,186,1573,167,000008087.jpg,000037980.jpg
16423,738,262,2256,115,000014563.jpg,000041212.jpg
16423,705,270,2337,111,000014563.jpg,000041212.jpg
16423,738,262,2256,115,000014563.jpg,000041213.jpg
16423,705,270,2337,111,000014563.jpg,000041213.jpg
16423,738,262,2256,115,000014563.jpg,000041214.jpg
16423,705,270,2337,111,000014563.jpg,000041214.jpg
16423,648,135,1020,93,000016646.jpg,000041212.jpg
16423,648,135,1020,93,000016646.jpg,000041213.jpg
16423,648,135,1020,93,000016646.jpg,000041214.jpg
16423,1357,130,2082,241,000007051.jpg,000041212.jpg
16423,1527,214,2042,250,000007051.jpg,000041212.jpg
16423,1357,130,2082,241,000007051.jpg,000041213.jpg
16423,1527,214,2042,250,000007051.jpg,000041213.jpg
16423,1357,130,2082,241,000007051.jpg,000041214.jpg
16423,1527,214,2042,250,000007051.jpg,000041214.jpg
16423,470,58,836,64,000006925.jpg,000041212.jpg
16423,404,42,753,63,000006925.jpg,000041212.jpg
16423,470,58,836,64,000006925.jpg,000041213.jpg
16423,404,42,753,63,000006925.jpg,000041213.jpg
16423,470,58,836,64,000006925.jpg,000041214.jpg
16423,404,42,753,63,000006925.jpg,000041214.jpg
16423,783,153,1106,78,000017887.jpg,000041212.jpg
16423,481,159,1507,138,000017887.jpg,000041212.jpg
16423,783,153,1106,78,000017887.jpg,000041213.jpg
16423,481,159,1507,138,000017887.jpg,000041213.jpg
16423,783,153,1106,78,000017887.jpg,000041214.jpg
16423,481,159,1507,138,000017887.jpg,000041214.jpg
16423,1224,187,2675,420,000014548.jpg,000041212.jpg
16423,1328,228,2628,473,000014548.jpg,000041212.jpg
16423,1224,187,2675,420,000014548.jpg,000041213.jpg
16423,1328,228,2628,473,000014548.jpg,000041213.jpg
16423,1224,187,2675,420,000014548.jpg,000041214.jpg
16423,1328,228,2628,473,000014548.jpg,000041214.jpg
16423,1594,254,160,737,000012418.jpg,000041212.jpg
16423,1204,322,224,673,000012418.jpg,000041212.jpg
