id,left,width,top,height,cons_path,shop_path
3586,880,636,1870,1190,000007885.jpg,000072908.jpg
3586,880,636,1870,1190,000007885.jpg,000072909.jpg
3586,2517,342,1950,1057,000016530.jpg,000072908.jpg
3586,2269,311,1997,933,000016530.jpg,000072908.jpg
3586,590,684,1663,933,000016530.jpg,000072908.jpg
3586,2517,342,1950,1057,000016530.jpg,000072909.jpg
3586,2269,311,1997,933,000016530.jpg,000072909.jpg
3586,590,684,1663,933,000016530.jpg,000072909.jpg
3586,404,514,2125,666,000008174.jpg,000072908.jpg
3586,404,514,2125,666,000008174.jpg,000072909.jpg
3586,137,169,413,108,000011753.jpg,000072908.jpg
3586,137,169,413,108,000011753.jpg,000072909.jpg
3586,1197,588,2915,980,000017163.jpg,000072908.jpg
3586,1197,588,2915,980,000017163.jpg,000072909.jpg
3586,1881,484,2263,960,000003792.jpg,000072908.jpg
3586,908,298,1966,379,000003792.jpg,000072908.jpg
3586,1718,286,2240,809,000003792.jpg,000072908.jpg
3586,11,437,1815,547,000003792.jpg,000072908.jpg
3586,1881,484,2263,960,000003792.jpg,000072909.jpg
3586,908,298,1966,379,000003792.jpg,000072909.jpg
3586,1718,286,2240,809,000003792.jpg,000072909.jpg
3586,11,437,1815,547,000003792.jpg,000072909.jpg
3586,719,65,2080,180,000003317.jpg,000072908.jpg
3586,829,70,2094,203,000003317.jpg,000072908.jpg
3586,719,65,2080,180,000003317.jpg,000072909.jpg
3586,829,70,2094,203,000003317.jpg,000072909.jpg
3586,879,215,1032,658,000006578.jpg,000072908.jpg
3586,697,189,993,645,000006578.jpg,000072908.jpg
3586,879,215,1032,658,000006578.jpg,000072909.jpg
3586,697,189,993,645,000006578.jpg,000072909.jpg
3586,420,261,1405,576,000002692.jpg,000072908.jpg
3586,753,289,1429,504,000002692.jpg,000072908.jpg
3586,420,261,1405,576,000002692.jpg,000072909.jpg
3586,753,289,1429,504,000002692.jpg,000072909.jpg
3586,516,146,840,261,000015083.jpg,000072908.jpg
3586,516,146,840,261,000015083.jpg,000072909.jpg
3586,490,331,818,351,000013712.jpg,000072908.jpg
3586,490,331,818,351,000013712.jpg,000072909.jpg
3586,320,160,794,310,000005102.jpg,000072908.jpg
3586,320,160,794,310,000005102.jpg,000072909.jpg
3586,446,593,1331,447,000016002.jpg,000072908.jpg
3586,446,593,1331,447,000016002.jpg,000072909.jpg
3586,781,665,1993,484,000013011.jpg,000072908.jpg
3586,781,665,1993,484,000013011.jpg,000072909.jpg
3586,350,81,1748,162,000003124.jpg,000072908.jpg
3586,525,77,1744,158,000003124.jpg,000072908.jpg
3586,350,81,1748,162,000003124.jpg,000072909.jpg
3586,525,77,1744,158,000003124.jpg,000072909.jpg
3586,1453,133,1211,325,000010501.jpg,000072908.jpg
3586,1353,298,1193,334,000010501.jpg,000072908.jpg
3586,1453,133,1211,325,000010501.jpg,000072909.jpg
3586,1353,298,1193,334,000010501.jpg,000072909.jpg
3586,985,442,1929,680,000011591.jpg,000072908.jpg
3586,985,442,1929,680,000011591.jpg,000072909.jpg
3586,195,237,815,272,000017077.jpg,000072908.jpg
3586,195,237,815,272,000017077.jpg,000072909.jpg
3586,323,227,747,405,000007696.jpg,000072908.jpg
3586,323,227,747,405,000007696.jpg,000072909.jpg
3586,1089,397,2372,642,000013726.jpg,000072908.jpg
3586,1089,397,2372,642,000013726.jpg,000072909.jpg
3586,228,95,416,136,000012469.jpg,000072908.jpg
3586,228,95,416,136,000012469.jpg,000072909.jpg
3586,699,881,1847,1125,000004146.jpg,000072908.jpg
3586,699,881,1847,1125,000004146.jpg,000072909.jpg
1539,1089,104,2239,213,000005690.jpg,000071082.jpg
1539,825,109,2220,208,000005690.jpg,000071082.jpg
1539,1089,104,2239,213,000005690.jpg,000071083.jpg
1539,825,109,2220,208,000005690.jpg,000071083.jpg
1539,535,432,1486,895,000003175.jpg,000071082.jpg
1539,535,432,1486,895,000003175.jpg,000071083.jpg
1539,1632,720,2283,230,000002257.jpg,000071082.jpg
1539,1632,720,2283,230,000002257.jpg,000071083.jpg
1539,815,1014,2962,1291,000017822.jpg,000071082.jpg
1539,815,1014,2962,1291,000017822.jpg,000071083.jpg
1539,373,78,814,146,000003458.jpg,000071082.jpg
1539,329,54,840,119,000003458.jpg,000071082.jpg
1539,373,78,814,146,000003458.jpg,000071083.jpg
1539,329,54,840,119,000003458.jpg,000071083.jpg
1539,224,175,660,231,000002168.jpg,000071082.jpg
1539,224,175,660,231,000002168.jpg,000071083.jpg
1539,34,455,86,659,000003134.jpg,000071082.jpg
1539,658,149,411,69,000003134.jpg,000071082.jpg
1539,34,455,86,659,000003134.jpg,000071083.jpg
1539,658,149,411,69,000003134.jpg,000071083.jpg
1539,443,192,691,492,000007888.jpg,000071082.jpg
1539,443,192,691,492,000007888.jpg,000071083.jpg
1539,680,677,936,1112,000005064.jpg,000071082.jpg
1539,680,677,936,1112,000005064.jpg,000071083.jpg
1539,955,476,990,648,000006335.jpg,000071082.jpg
1539,317,232,1161,463,000006335.jpg,000071082.jpg
1539,955,476,990,648,000006335.jpg,000071083.jpg
1539,317,232,1161,463,000006335.jpg,000071083.jpg
1539,830,365,1955,930,000012148.jpg,000071082.jpg
1539,830,365,1955,930,000012148.jpg,000071083.jpg
1539,373,287,621,587,000013102.jpg,000071082.jpg
1539,373,287,621,587,000013102.jpg,000071083.jpg
1539,408,396,1249,409,000015584.jpg,000071082.jpg
1539,408,396,1249,409,000015584.jpg,000071083.jpg
1539,1115,794,2431,1206,000008378.jpg,000071082.jpg
1539,1115,794,2431,1206,000008378.jpg,000071083.jpg
1539,150,182,600,60,000008881.jpg,000071082.jpg
1539,150,182,600,60,000008881.jpg,000071083.jpg
1539,531,309,881,532,000014395.jpg,000071082.jpg
1539,531,309,881,532,000014395.jpg,000071083.jpg
1539,388,116,680,178,000002127.jpg,000071082.jpg
1539,388,116,680,178,000002127.jpg,000071083.jpg
1539,242,102,573,156,000014717.jpg,000071082.jpg
1539,242,102,573,156,000014717.jpg,000071083.jpg
518,595,805,1615,935,000002611.jpg,000072694.jpg
518,595,805,1615,935,000002611.jpg,000072695.jpg
1032,209,92,618,42,000008829.jpg,000082210.jpg
1032,258,69,605,56,000008829.jpg,000082210.jpg
1032,209,92,618,42,000008829.jpg,000082211.jpg
1032,258,69,605,56,000008829.jpg,000082211.jpg
2569,336,184,576,345,000016358.jpg,000084920.jpg
2569,336,184,576,345,000016358.jpg,000084921.jpg
2569,1002,741,2179,269,000009914.jpg,000084920.jpg
2569,1002,741,2179,269,000009914.jpg,000084921.jpg
1034,1070,195,2095,355,000000169.jpg,000063560.jpg
1034,710,230,2025,505,000000169.jpg,000063560.jpg
1034,1070,195,2095,355,000000169.jpg,000063561.jpg
1034,710,230,2025,505,000000169.jpg,000063561.jpg
1034,1070,195,2095,355,000000169.jpg,000063562.jpg
1034,710,230,2025,505,000000169.jpg,000063562.jpg
1034,155,156,390,151,000001609.jpg,000063560.jpg
1034,155,156,390,151,000001609.jpg,000063561.jpg
1034,155,156,390,151,000001609.jpg,000063562.jpg
4106,55,41,414,34,000098646.jpg,000032743.jpg
4106,55,41,414,34,000098646.jpg,000032745.jpg
8,1252,612,2915,467,000011004.jpg,000047682.jpg
8,1252,612,2915,467,000011004.jpg,000047684.jpg
2063,730,244,2038,623,000010865.jpg,000040089.jpg
2063,1003,171,2048,672,000010865.jpg,000040089.jpg
2063,91,120,475,166,000011986.jpg,000040089.jpg
4112,734,425,3354,350,000329953.jpg,000034599.jpg
4112,734,425,3354,350,000329953.jpg,000034600.jpg
4112,3030,660,2798,1147,000000134.jpg,000034599.jpg
4112,975,498,3027,803,000000134.jpg,000034599.jpg
4112,2437,555,2893,1404,000000134.jpg,000034599.jpg
4112,678,383,2941,908,000000134.jpg,000034599.jpg
4112,3030,660,2798,1147,000000134.jpg,000034600.jpg
4112,975,498,3027,803,000000134.jpg,000034600.jpg
4112,2437,555,2893,1404,000000134.jpg,000034600.jpg
4112,678,383,2941,908,000000134.jpg,000034600.jpg
4112,469,233,913,808,000000328.jpg,000034599.jpg
4112,633,306,920,844,000000328.jpg,000034599.jpg
4112,469,233,913,808,000000328.jpg,000034600.jpg
4112,633,306,920,844,000000328.jpg,000034600.jpg
4112,329,174,563,267,000363641.jpg,000034599.jpg
4112,329,174,563,267,000363641.jpg,000034600.jpg
4112,1001,821,2249,1091,000013299.jpg,000034599.jpg
4112,1001,821,2249,1091,000013299.jpg,000034600.jpg
4112,386,192,699,478,000015009.jpg,000034599.jpg
4112,386,192,699,478,000015009.jpg,000034600.jpg
4112,363,192,612,483,000008494.jpg,000034599.jpg
4112,363,192,612,483,000008494.jpg,000034600.jpg
3600,251,74,855,152,000011928.jpg,000050338.jpg
3600,190,71,860,154,000011928.jpg,000050338.jpg
3600,841,81,841,171,000011928.jpg,000050338.jpg
3600,78,188,19,127,000011928.jpg,000050338.jpg
3600,563,118,46,325,000011928.jpg,000050338.jpg
3600,770,83,843,164,000011928.jpg,000050338.jpg
3600,711,266,48,327,000011928.jpg,000050338.jpg
3600,107,391,26,369,000011928.jpg,000050338.jpg
3600,251,74,855,152,000011928.jpg,000050339.jpg
3600,190,71,860,154,000011928.jpg,000050339.jpg
3600,841,81,841,171,000011928.jpg,000050339.jpg
3600,78,188,19,127,000011928.jpg,000050339.jpg
3600,563,118,46,325,000011928.jpg,000050339.jpg
3600,770,83,843,164,000011928.jpg,000050339.jpg
3600,711,266,48,327,000011928.jpg,000050339.jpg
3600,107,391,26,369,000011928.jpg,000050339.jpg
1041,1037,508,2098,904,000000984.jpg,000066000.jpg
1041,1037,508,2098,904,000000984.jpg,000066001.jpg
