id,left,width,top,height,cons_path,shop_path
6148,1012,464,949,544,000015445.jpg,000070819.jpg
6148,983,464,932,527,000015445.jpg,000070819.jpg
6148,1012,464,949,544,000015445.jpg,000070821.jpg
6148,983,464,932,527,000015445.jpg,000070821.jpg
6148,1012,464,949,544,000015445.jpg,000070822.jpg
6148,983,464,932,527,000015445.jpg,000070822.jpg
6148,1012,464,949,544,000015445.jpg,000070823.jpg
6148,983,464,932,527,000015445.jpg,000070823.jpg
6148,1012,464,949,544,000015445.jpg,000097599.jpg
6148,983,464,932,527,000015445.jpg,000097599.jpg
6148,1012,464,949,544,000015445.jpg,000097600.jpg
6148,983,464,932,527,000015445.jpg,000097600.jpg
6148,115,126,205,151,000013029.jpg,000070819.jpg
6148,83,171,195,159,000013029.jpg,000070819.jpg
6148,115,126,205,151,000013029.jpg,000070821.jpg
6148,83,171,195,159,000013029.jpg,000070821.jpg
6148,115,126,205,151,000013029.jpg,000070822.jpg
6148,83,171,195,159,000013029.jpg,000070822.jpg
6148,115,126,205,151,000013029.jpg,000070823.jpg
6148,83,171,195,159,000013029.jpg,000070823.jpg
6148,115,126,205,151,000013029.jpg,000097599.jpg
6148,83,171,195,159,000013029.jpg,000097599.jpg
6148,115,126,205,151,000013029.jpg,000097600.jpg
6148,83,171,195,159,000013029.jpg,000097600.jpg
6148,1520,1128,1929,1165,000002425.jpg,000070819.jpg
6148,1584,1100,1808,1408,000002425.jpg,000070819.jpg
6148,1520,1128,1929,1165,000002425.jpg,000070821.jpg
6148,1584,1100,1808,1408,000002425.jpg,000070821.jpg
6148,1520,1128,1929,1165,000002425.jpg,000070822.jpg
6148,1584,1100,1808,1408,000002425.jpg,000070822.jpg
6148,1520,1128,1929,1165,000002425.jpg,000070823.jpg
6148,1584,1100,1808,1408,000002425.jpg,000070823.jpg
6148,1520,1128,1929,1165,000002425.jpg,000097599.jpg
6148,1584,1100,1808,1408,000002425.jpg,000097599.jpg
6148,1520,1128,1929,1165,000002425.jpg,000097600.jpg
6148,1584,1100,1808,1408,000002425.jpg,000097600.jpg
2053,282,324,395,344,000003127.jpg,000063329.jpg
2053,352,277,397,326,000003127.jpg,000063329.jpg
2053,282,324,395,344,000003127.jpg,000063330.jpg
2053,352,277,397,326,000003127.jpg,000063330.jpg
2053,282,324,395,344,000003127.jpg,000063331.jpg
2053,352,277,397,326,000003127.jpg,000063331.jpg
2053,282,324,395,344,000003127.jpg,000063332.jpg
2053,352,277,397,326,000003127.jpg,000063332.jpg
2053,282,324,395,344,000003127.jpg,000063333.jpg
2053,352,277,397,326,000003127.jpg,000063333.jpg
11,90,297,216,270,000000135.jpg,000020266.jpg
11,90,296,229,241,000000135.jpg,000020266.jpg
11,90,297,216,270,000000135.jpg,000020267.jpg
11,90,296,229,241,000000135.jpg,000020267.jpg
11,90,297,216,270,000000135.jpg,000020268.jpg
