id,left,width,top,height,cons_path,shop_path
18432,187,240,147,208,000005229.jpg,000078267.jpg
18432,187,240,147,208,000005229.jpg,000078268.jpg
18432,187,240,147,208,000005229.jpg,000078269.jpg
18432,187,240,147,208,000005229.jpg,000078270.jpg
18432,187,240,147,208,000005229.jpg,000078271.jpg
18432,187,240,147,208,000005229.jpg,000078272.jpg
18432,256,333,271,385,000007929.jpg,000078267.jpg
18432,256,333,271,385,000007929.jpg,000078268.jpg
18432,256,333,271,385,000007929.jpg,000078269.jpg
18432,256,333,271,385,000007929.jpg,000078270.jpg
18432,256,333,271,385,000007929.jpg,000078271.jpg
18432,256,333,271,385,000007929.jpg,000078272.jpg
10241,402,735,751,717,000002330.jpg,000054192.jpg
10241,402,735,751,717,000002330.jpg,000054193.jpg
10241,402,735,751,717,000002330.jpg,000054194.jpg
32770,1254,440,616,1099,000329893.jpg,000053455.jpg
32770,1254,440,616,1099,000329893.jpg,000053456.jpg
32770,1254,440,616,1099,000329893.jpg,000053457.jpg
32770,1254,440,616,1099,000329893.jpg,000053458.jpg
32770,707,625,258,630,000016088.jpg,000053455.jpg
32770,707,625,258,630,000016088.jpg,000053456.jpg
32770,707,625,258,630,000016088.jpg,000053457.jpg
32770,707,625,258,630,000016088.jpg,000053458.jpg
20482,405,1160,455,1195,000005053.jpg,000077651.jpg
20482,405,1160,455,1195,000005053.jpg,000077652.jpg
20482,405,1160,455,1195,000005053.jpg,000077653.jpg
20482,405,1160,455,1195,000005053.jpg,000077654.jpg
20482,405,1160,455,1195,000005053.jpg,000077655.jpg
16390,146,1273,405,743,000011813.jpg,000042941.jpg
16390,146,1273,405,743,000011813.jpg,000042942.jpg
16390,146,1273,405,743,000011813.jpg,000042943.jpg
16390,146,1273,405,743,000011813.jpg,000042944.jpg
28679,140,531,313,599,000008097.jpg,000055113.jpg
28679,140,531,313,599,000008097.jpg,000055114.jpg
28679,140,531,313,599,000008097.jpg,000055115.jpg
